business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Md Nuralam store,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 95931 50388,N/A,5.0,2.0,"Gayeshbari Main Road, Chaspara, Gayesh Bari, Sujapur, West Bengal 732206","Chaspara, Gayesh Bari",24.9130638,88.082394,ChIJMyMylmf5-jkRgIUbPk6er9w,https://www.google.com/maps/place/?q=place_id:ChIJMyMylmf5-jkRgIUbPk6er9w,part_327,2026-09-20 20:23:41
REJAUL STORE,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 75508 43962,N/A,5.0,1.0,"near Tutpara Jumma Masjid, Jogimore, Sujapur, Kaliachak, West Bengal 732206",Jogimore,24.909865999999997,88.09215879999999,ChIJo6mYcen_-jkRHvuxagDQ50c,https://www.google.com/maps/place/?q=place_id:ChIJo6mYcen_-jkRHvuxagDQ50c,part_327,2026-09-20 20:23:41
Bharadwaj Store,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 89724 66372,N/A,5.0,1.0,"Kaliachak, Jamirghata Station Rd, Gayesh Bari, Sujapur, Sahibganj, Jharkhand 732206",Gayesh Bari,24.9154128,88.07526589999999,ChIJQV29UuP5-jkR_UKm6Hd6xas,https://www.google.com/maps/place/?q=place_id:ChIJQV29UuP5-jkR_UKm6Hd6xas,part_327,2026-09-20 20:23:41
Fahiz general Store kushabari,General Store,Store,Store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 96097 49148,N/A,,,"Kushabari Fahiz general Store, Gayesh Bari, Sujapur, West Bengal 732206",Gayesh Bari,24.908051099999998,88.07128349999999,ChIJNfnDmZz5-jkRtUCc9-7Qv_E,https://www.google.com/maps/place/?q=place_id:ChIJNfnDmZz5-jkRtUCc9-7Qv_E,part_327,2026-09-20 20:23:41
MURSELIM TEA STORE,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 86375 97562,N/A,3.0,2.0,"Hospital, Sujapur, More, Malda, West Bengal 732206",732206,24.918594,88.0917551,ChIJbyF7eg3_-jkREVAH9xPtUwU,https://www.google.com/maps/place/?q=place_id:ChIJbyF7eg3_-jkREVAH9xPtUwU,part_327,2026-09-20 20:23:41
MARIA STORE,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 97331 33921,N/A,,,"Na Saifuddin Biswas Para Gayesbari Kaliachak Malda 732206, Sahibganj, Jharkhand 732206",Gayesh Bari,24.9159866,88.0768192,ChIJbV2bTnn5-jkRFk2S9d8BNAw,https://www.google.com/maps/place/?q=place_id:ChIJbV2bTnn5-jkRFk2S9d8BNAw,part_327,2026-09-20 20:23:41
Md Aliul Hoque,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 76020 76831,N/A,4.5,,"B1, near Nazirpur Club, Sujapur, West Bengal 732206",732206,24.924332699999997,88.1045761,ChIJYQFA0nr_-jkRs9pCcGsao1w,https://www.google.com/maps/place/?q=place_id:ChIJYQFA0nr_-jkRs9pCcGsao1w,part_327,2026-09-20 20:23:43
MURTAJUL TEA STOLE,General Store,General store,"General store, Tea house",732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 84364 08141,N/A,4.8,,"Gayesh Bari, Kaliachak, Sujapur, Jharkhand 732206",Gayesh Bari,24.9127545,88.0773615,ChIJx6luHLn4-jkRnjM3KeNgBCc,https://www.google.com/maps/place/?q=place_id:ChIJx6luHLn4-jkRnjM3KeNgBCc,part_327,2026-09-20 20:23:43
SOYEB STORE,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 82072 25063,N/A,5.0,,"Brohmottor Rd, Boromottor, Chhoto, Chhota Suzapur, West Bengal 732206","Boromottor, Chhoto",24.9122921,88.0943838,ChIJmfaB-Qf_-jkRXQafwAoY2yo,https://www.google.com/maps/place/?q=place_id:ChIJmfaB-Qf_-jkRXQafwAoY2yo,part_327,2026-09-20 20:23:43
PARVEJ GENERAL STORE,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 96413 43056,N/A,,,"GOYESH BARI, JOLA MORE, Malda, West Bengal 732206",Gayesh Bari,24.9150846,88.0789626,ChIJEy7_xJv5-jkRBSoBzQDKi_o,https://www.google.com/maps/place/?q=place_id:ChIJEy7_xJv5-jkRBSoBzQDKi_o,part_327,2026-09-20 20:23:43
MURSALIM MOMIN,General Store,General store,General store,732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO",+91 77159 90208,N/A,5.0,,"Danga Main Road, Malda, Sujapur, West Bengal 732206",732206,24.9001755,88.0785861,ChIJix9XNz35-jkRjieN4a9VjAI,https://www.google.com/maps/place/?q=place_id:ChIJix9XNz35-jkRjieN4a9VjAI,part_327,2026-09-20 20:23:43
