business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Digha F. L. Shop,Shops,Wine store,Wine store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,N/A,N/A,4.0,,"JGFF+CFH, Digha Barrister Colony Rd, Gobindabasan, Digha, West Bengal 721428",Gobindabasan,21.6235642,87.5237211,ChIJcXfVXT_NHDoRT-Fg82G7uLU,https://www.google.com/maps/place/?q=place_id:ChIJcXfVXT_NHDoRT-Fg82G7uLU,part_323,2026-09-20 20:25:16
EXIDE Saikat Auto Electric Works,Shops,Electronics store,Electronics store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,+91 99323 38575,N/A,3.0,,"JGGG+HJH, NH 116B, Gobindabasan, Digha, West Bengal 721463",Gobindabasan,21.626449299999997,87.5266133,ChIJkUCDBUfNHDoRgz5_5zXH4ME,https://www.google.com/maps/place/?q=place_id:ChIJkUCDBUfNHDoRgz5_5zXH4ME,part_323,2026-09-20 20:25:16
Satya Narayan Stores,Shops,Clothing store,Clothing store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,+91 96355 29584,N/A,3.9,,"Barabazar Rd, near Shitala Mandir, Midnapore, West Bengal 721101",721463,22.414421299999997,87.3283209,ChIJx54pbjFbHToR4D6dGKpQvuo,https://www.google.com/maps/place/?q=place_id:ChIJx54pbjFbHToR4D6dGKpQvuo,part_323,2026-09-20 20:25:16
JAY JAGANATH SANKHA BHADER,Shops,General store,General store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,+91 89458 33744,N/A,5.0,,"Priya Hotal, New Digha Sea Beach Market Rd, Gadadharpur, New Digha, Digha, Sagar, West Bengal 721428",New Digha,21.6189745,87.5045732,ChIJ_4Bcv4bNHDoR99wIqCPPrp4,https://www.google.com/maps/place/?q=place_id:ChIJ_4Bcv4bNHDoR99wIqCPPrp4,part_323,2026-09-20 20:25:16
S.A.C Ring Shop,Shops,Stationery store,Stationery store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,+91 73650 20152,N/A,,,"Sea Beach, Old, Digha, West Bengal 721463",Gobindabasan,21.6233014,87.52646539999999,ChIJA-TMGI_NHDoRyecYxnsAnOo,https://www.google.com/maps/place/?q=place_id:ChIJA-TMGI_NHDoRyecYxnsAnOo,part_323,2026-09-20 20:25:16
"Old digha,Nehru Market",Shops,Jewelry store,Jewelry store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,N/A,https://www.facebook.com/profile.php?id=100075636716766&mibextid=ZbWKwL,4.4,,"JGGC+PWC, Gobindabasan, Digha, West Bengal 721428",Gobindabasan,21.6268122,87.5222728,ChIJBaleCQDNHDoRwlmcNIhGwfE,https://www.google.com/maps/place/?q=place_id:ChIJBaleCQDNHDoRwlmcNIhGwfE,part_323,2026-09-20 20:25:16
Anamika Seashell,Shops,Variety store,Variety store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,N/A,N/A,4.7,,"Neheru Market, Gobindabasan, Digha, West Bengal 721428","Neheru Market, Gobindabasan",21.6239042,87.52314349999999,ChIJQ8wgYT_NHDoRVxoTGRYf1gk,https://www.google.com/maps/place/?q=place_id:ChIJQ8wgYT_NHDoRVxoTGRYf1gk,part_323,2026-09-20 20:25:17
Digha-Tajpur MarineDrive Road,Shops,Tourist attraction,Tourist attraction,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,N/A,N/A,4.6,83.0,"JGPG+687, Jagadishpur, West Bengal 721463",721463,21.635541999999997,87.5258003,ChIJf254t-7NHDoRzS1rpZzyU1Q,https://www.google.com/maps/place/?q=place_id:ChIJf254t-7NHDoRzS1rpZzyU1Q,part_323,2026-09-20 20:25:17
Avinandan,Shops,Variety store,Variety store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,N/A,N/A,4.0,,"Choto Bazar Main Rd, BibiGunj, Midnapore, West Bengal 721101",BibiGunj,22.413766,87.3264689,ChIJVZBYn-JbHToRIRLMdrHKizc,https://www.google.com/maps/place/?q=place_id:ChIJVZBYn-JbHToRIRLMdrHKizc,part_323,2026-09-20 20:25:18
RANA STEEL ITEM,Shops,Home goods store,Home goods store,721463,West Bengal Circle,South Bengal Region,Contai Division,Digha New Township SO,+91 86170 29055,N/A,5.0,,"Rana Steel Item, opposite Monalisa Beauty Parlour, Rabindra Nagar, LIC , Rabindranagar, Midnapore, West Bengal 721101","Rabindra Nagar, LIC , Rabindranagar",22.4252274,87.3204786,ChIJEVoTR5JbHToRYWugucrg3xE,https://www.google.com/maps/place/?q=place_id:ChIJEVoTR5JbHToRYWugucrg3xE,part_323,2026-09-20 20:25:18
