business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JAI JAGANNATH Shed & metals Work.,Aluminium Fabrication,Metal fabricator,Metal fabricator,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"Guyadha - Panikotor Rd, Kanchdahari, Kanthaldiha, West Bengal 721253",721201,22.7654189,87.40926639999999,ChIJj2RibAD79zkRoEvglPYUAwE,https://www.google.com/maps/place/?q=place_id:ChIJj2RibAD79zkRoEvglPYUAwE,part_322,2026-09-20 20:17:49
MD ALUMINIUM & GLASS,Aluminium Fabrication,Wholesaler,Wholesaler,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93321 72619,N/A,5.0,,"Bhangakuthi BSNL Tower, Grand Trunk Rd, Khagragorh, Bardhaman, West Bengal 713101",Khagragorh,23.2553321,87.8558504,ChIJuUAiQ6xJ-DkRaGMgKF9uypE,https://www.google.com/maps/place/?q=place_id:ChIJuUAiQ6xJ-DkRaGMgKF9uypE,part_322,2026-09-20 20:17:49
Maa Sarada Engineering Works,Aluminium Fabrication,Metal fabricator,Metal fabricator,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97483 00875,N/A,5.0,,"Kanthali Besides Kanthali Kali Mandir, Arambagh - Kamarpukur Rd, Kamarpukur, Kantali, West Bengal 712614",721201,22.8918923,87.6809754,ChIJK-IwNbsZ-DkRaIPs8bshacU,https://www.google.com/maps/place/?q=place_id:ChIJK-IwNbsZ-DkRaIPs8bshacU,part_322,2026-09-20 20:17:49
Mahaprabhu Welding,Aluminium Fabrication,Welder,Welder,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"Malighati, Harinarayanpur, West Bengal 721211",721201,22.543158299999998,87.6311729,ChIJh6veewCpAjoR7l72b-uh_0o,https://www.google.com/maps/place/?q=place_id:ChIJh6veewCpAjoR7l72b-uh_0o,part_322,2026-09-20 20:17:49
B.S. Metals,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98306 18669,N/A,4.8,,"29, Lenin Sarani Rd, opposite Jyoti Cinema, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700013","Chandni Chawk, Bowbazar",22.564036899999998,88.35507369999999,ChIJBU_1fQd3AjoRXfwvoTmkyc4,https://www.google.com/maps/place/?q=place_id:ChIJBU_1fQd3AjoRXfwvoTmkyc4,part_322,2026-09-20 20:17:49
VISHWAKARMA FABRICATOR,Aluminium Fabrication,Manufacturer,Manufacturer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98834 32317,https://www.aluminiumladder.org/,5.0,,"36, Jaya Bibi Rd, Belur, Ghusuri, Howrah, West Bengal 711107","Belur, Ghusuri",22.6158985,88.35684909999999,ChIJAQDMP3yd-DkRFwBTGFxH35k,https://www.google.com/maps/place/?q=place_id:ChIJAQDMP3yd-DkRFwBTGFxH35k,part_322,2026-09-20 20:17:49
M/s. A. R. K. Aluminium,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94331 76092,https://www.arkaluminium.in/,4.6,,"Odisha Govt, 52/2, Lenin Sarani Rd, near Utkal Bhawan, Esplanade, Janbazar, Taltala, Kolkata, West Bengal 700013","Esplanade, Janbazar, Taltala",22.5627537,88.35910849999999,ChIJBTtXvQB3AjoRTj_EZ9GlLsw,https://www.google.com/maps/place/?q=place_id:ChIJBTtXvQB3AjoRTj_EZ9GlLsw,part_322,2026-09-20 20:17:49
PARVINA ENGINEERING WORKS,Aluminium Fabrication,Steel fabricator,Steel fabricator,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 86706 63583,N/A,5.0,,"GCRX+X2G, Keshpur, Tengaerya, West Bengal 721150",721201,22.5424333,87.4475788,ChIJmXI1cLdXHToRHziM6q3VJs0,https://www.google.com/maps/place/?q=place_id:ChIJmXI1cLdXHToRHziM6q3VJs0,part_322,2026-09-20 20:17:49
TALTALA ALUMINIUM HOUSE,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98310 40588,N/A,4.9,,"66, Lenin Sarani Rd, Janbazar, Taltala, Kolkata, West Bengal 700013","Janbazar, Taltala",22.561954699999998,88.3614092,ChIJiTuIQQB3AjoRk_psLKja21o,https://www.google.com/maps/place/?q=place_id:ChIJiTuIQQB3AjoRk_psLKja21o,part_322,2026-09-20 20:17:49
VD ENTERPRISES,Aluminium Fabrication,Steel fabricator,Steel fabricator,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99326 98683,N/A,,,"Garhbeta - Hoomgarh Rd, Garhbeta, Ganakbandi, West Bengal 721121",721201,22.849622699999998,87.3108675,ChIJyc4uZfLv9zkReXz58dpE444,https://www.google.com/maps/place/?q=place_id:ChIJyc4uZfLv9zkReXz58dpE444,part_322,2026-09-20 20:17:49
MAA KALI ALUMINIUM FABRICATOR,Aluminium Fabrication,Aluminum frames supplier,Aluminum frames supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,,,"VMRJ+6JF, Kantali, West Bengal 712614",721201,22.890551199999997,87.6815352,ChIJh4RRfwAZ-DkRfVT_GcKjksA,https://www.google.com/maps/place/?q=place_id:ChIJh4RRfwAZ-DkRfVT_GcKjksA,part_322,2026-09-20 20:17:49
Popular Aluminium,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.5,10.0,"Kalasipalyam New Extension, Kalasipalya, Bengaluru, Karnataka 560002","Kalasipalyam New Extension, Kalasipalya",12.9593714,77.5800546,ChIJ0wzXmu8VrjsRZuJc7chL_Zo,https://www.google.com/maps/place/?q=place_id:ChIJ0wzXmu8VrjsRZuJc7chL_Zo,part_322,2026-09-20 20:17:51
Xpert Shade Solution,Aluminium Fabrication,Manufacturer,Manufacturer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70763 34957,http://www.xpertshade.com/,4.4,50.0,"Panitanki More, Sevoke Rd, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 11, Near Pani Tanki More (Clock Tower)",26.720260399999997,88.42640999999999,ChIJ71xYdhNB5DkRy7C1nbAw6Ww,https://www.google.com/maps/place/?q=place_id:ChIJ71xYdhNB5DkRy7C1nbAw6Ww,part_322,2026-09-20 20:17:51
JMT Manufacture,Aluminium Fabrication,Manufacturer,"Manufacturer, Engineering consultant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 86375 88236,https://jmtmanufacture.com/,3.0,2.0,"64, Kasundia Rd, Naora, Shibpur, Howrah, West Bengal 711104","Naora, Shibpur",22.5776348,88.314734,ChIJASilsT55AjoRXG9e3y_kw7Y,https://www.google.com/maps/place/?q=place_id:ChIJASilsT55AjoRXG9e3y_kw7Y,part_322,2026-09-20 20:17:51
RELIANCE FABRICATION,Aluminium Fabrication,Manufacturer,Manufacturer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70043 56389,N/A,5.0,28.0,"KOPALI, MAIN RAOD, near KARIM CITY COLLEGE, Mango, Jamshedpur, Jharkhand 831012","Dangardih, Mango",22.8233419,86.189162,ChIJkYMkx6nj9TkRJvHgUB8JpQw,https://www.google.com/maps/place/?q=place_id:ChIJkYMkx6nj9TkRJvHgUB8JpQw,part_322,2026-09-20 20:17:51
MAA VAISHNO ENTERPRISES,Aluminium Fabrication,Aluminium Supplier,"Aluminium Supplier, Wholesaler",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93291 01920,http://mv-enterprises.co.in/,5.0,7.0,"Gupta Clinic, C-185, near Dr.G.B, Tagore Nagar, Raipur, Tikrapara, Chhattisgarh 492001",Tagore Nagar,21.226359,81.6551339,ChIJAQAA8ADdKDoRt6_rwp1ql-A,https://www.google.com/maps/place/?q=place_id:ChIJAQAA8ADdKDoRt6_rwp1ql-A,part_322,2026-09-20 20:17:51
