business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Unisex Salon Hair And Makeup Studio,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hairdresser, Make-up artist, Nail salon, Waxing hair removal service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 73847 43139,https://www.instagram.com/shreeunisexsalonnmakeupstudio/,4.8,,"Jatin Das Sarani, Ashram Para, Hakim Para, Siliguri, West Bengal 734001","Ashram Para, Hakim Para",26.7203374,88.43133979999999,ChIJO5i4BkZB5DkRWWM4ssFNO3Y,https://www.google.com/maps/place/?q=place_id:ChIJO5i4BkZB5DkRWWM4ssFNO3Y,part_328,2026-09-20 20:17:32
"Aappearance Hair & Beauty Saloon & Traning Academy| SF Road, Siliguri",Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98323 28686,N/A,4.5,,"Station Feeder Rd, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7029906,88.4182185,ChIJl3-4t9VB5DkRd057qKiT57I,https://www.google.com/maps/place/?q=place_id:ChIJl3-4t9VB5DkRd057qKiT57I,part_328,2026-09-20 20:17:32
Magic Scissors unisex salon and Academy,Unisex Salon,Hairdresser,"Hairdresser, Beautician, Make-up artist, Nail salon",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 83270 85564,https://youtube.com/@darjeelinghairstylist?si=MQ2y7WEMr3xfMi72,5.0,,"PCMJ+86C leelawati apartment Beehind, Vishal Cinema Hall, near green vista apartments, Upper Bhanu Nagar, Bhanu Nagar, Siliguri, West Bengal 734001","Upper Bhanu Nagar, Dasrath Pally, Bhanu Nagar",26.7326631,88.429379,ChIJu_CjkV5B5DkR8FlPgziybRE,https://www.google.com/maps/place/?q=place_id:ChIJu_CjkV5B5DkR8FlPgziybRE,part_328,2026-09-20 20:17:32
Style Hub Unisex Salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 78727 26515,N/A,4.5,,"Agam Singh Giri Nagar Lan No 1, Dagapur, Siliguri, West Bengal 734003","Kabi Agam Singh Nagar, Dagapur",26.745084499999997,88.3969328,ChIJ034rFZBH5DkR8eutoblW-9s,https://www.google.com/maps/place/?q=place_id:ChIJ034rFZBH5DkR8eutoblW-9s,part_328,2026-09-20 20:17:32
Yanshi The hair Cuttery unisex salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 93391 54958,N/A,5.0,,"QC89+JCR, Devidanga, Siliguri, Kalabari, West Bengal 734003",Devidanga,26.7666613,88.4185775,ChIJRw0VUgBB5DkRfnnvqvQt8PA,https://www.google.com/maps/place/?q=place_id:ChIJRw0VUgBB5DkRfnnvqvQt8PA,part_328,2026-09-20 20:17:32
Bella & Beau unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79084 54942,N/A,4.8,,"Sarbapally, Checkpost, Eastern Bypass, near North View Appartment Bangla Bazaar Road, Siliguri, West Bengal 734008","Ward 42, Don Bosco Colony",26.7508755,88.44247109999999,ChIJgaS6MyJB5DkRMv5WyYOOyz4,https://www.google.com/maps/place/?q=place_id:ChIJgaS6MyJB5DkRMv5WyYOOyz4,part_328,2026-09-20 20:17:32
Fade&Flow Unisex Salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90647 05502,N/A,5.0,86.0,"Iskcon Rd, near Manokamna Hospital, Ward 41, Bankim Nagar, Siliguri, West Bengal 734006","Ward 41, Bankim Nagar",26.728569699999998,88.4373804,ChIJl7pLWABB5DkRar-Y4Sm8cpk,https://www.google.com/maps/place/?q=place_id:ChIJl7pLWABB5DkRar-Y4Sm8cpk,part_328,2026-09-20 20:17:32
Style Point unisex hair salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 88002 75850,N/A,5.0,101.0,"Bhanubhakta, more, Siliguri, Panchanai, West Bengal 734002",734003,26.7635485,88.3857822,ChIJHwTcVX1H5DkRQWdI0op4y9A,https://www.google.com/maps/place/?q=place_id:ChIJHwTcVX1H5DkRQWdI0op4y9A,part_328,2026-09-20 20:17:32
Gorkhey Unisex Salon & Academy,Unisex Salon,Beauty Parlour,"Beauty Parlour, Charter school",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 76795 18410,N/A,5.0,129.0,"Ward No 42, Prince Princess Academy, Salugara East, opposite to Salugara, beside Sai Mandir, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7654383,88.4481991,ChIJJXGurxpB5DkRgqWn5NMW5rQ,https://www.google.com/maps/place/?q=place_id:ChIJJXGurxpB5DkRgqWn5NMW5rQ,part_328,2026-09-20 20:17:32
The Creation Unisex Salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 74790 89591,https://www.instagram.com/the_creation_salon?igsh=bng4dmV3NG9zOGVt&utm_source=qr,4.9,115.0,"The Creation Salon, Planet Mall, Sevoke Rd, opposite Cosmos, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001","Ward 43, Dasrath Pally, Bhanu Nagar",26.7395817,88.4357515,ChIJX8RzoCA_5DkRR4MgaZpIP4k,https://www.google.com/maps/place/?q=place_id:ChIJX8RzoCA_5DkRR4MgaZpIP4k,part_328,2026-09-20 20:17:32
Gorkhe Unisex saloon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hairdresser, Facial spa",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96414 03007,N/A,4.9,95.0,"Gyan Jyoti more, Dagapur, Siliguri, Bara Gharia, West Bengal 734010",Dagapur,26.7470024,88.39143109999999,ChIJSbV78l5H5DkRKDscZ41OuBU,https://www.google.com/maps/place/?q=place_id:ChIJSbV78l5H5DkRKDscZ41OuBU,part_328,2026-09-20 20:17:32
Hair Classic’s Unisex Salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 6295 493 606,https://www.instagram.com/hair_classics/profilecard/?igsh=MW0yeW13djN6bTc5Mw==,4.7,51.0,"Road Checkpost . Sarbapally, Eastern Bypass, Siliguri, West Bengal 734008","Ward 42, Don Bosco Colony",26.750276699999997,88.4438042,ChIJ_1Y48p5B5DkRspSuISCR67k,https://www.google.com/maps/place/?q=place_id:ChIJ_1Y48p5B5DkRspSuISCR67k,part_328,2026-09-20 20:17:32
Josh (The Hair Cuttery Salon),Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90087 95271,https://josh-the-hair-cuttery.grexa.site/,4.6,176.0,"basement ,2nd mile, PBR Towers, Checkpost, Sevoke Rd, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734001","Ward 42, Don Bosco Colony",26.7468321,88.4380393,ChIJrUBTtvhA5DkR6Qg-2enNcEU,https://www.google.com/maps/place/?q=place_id:ChIJrUBTtvhA5DkR6Qg-2enNcEU,part_328,2026-09-20 20:17:32
Diverse glow unisex salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.9,,"M9WC+C5P, Ranga Pani, Bara Mohansingh, West Bengal 734012",734003,26.6960762,88.37043849999999,ChIJ8bLmZQBH5DkReXyWWCWcJVg,https://www.google.com/maps/place/?q=place_id:ChIJ8bLmZQBH5DkReXyWWCWcJVg,part_328,2026-09-20 20:17:33
Uppercuts Unisex Salon and home services,Unisex Salon,Barber shop,Barber shop,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70018 45591,N/A,4.9,,"Patharghata Rd, Ghokla Jote, Siliguri, Gaurcharan, West Bengal 734010",Ghokla Jote,26.728077,88.38211369999999,ChIJ6erfjk5H5DkRpjAaxMYNpsU,https://www.google.com/maps/place/?q=place_id:ChIJ6erfjk5H5DkRpjAaxMYNpsU,part_328,2026-09-20 20:17:33
Style fusion unisex salon,Unisex Salon,Hairdresser,Hairdresser,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98002 05795,N/A,5.0,,"Electric supply road, Sukanta Sarani, Milanpally, Saktigarh, Siliguri, West Bengal 734005","Milanpally, Saktigarh",26.7002492,88.4202054,ChIJjYwWyINB5DkRpRA0Fiwe3HE,https://www.google.com/maps/place/?q=place_id:ChIJjYwWyINB5DkRpRA0Fiwe3HE,part_328,2026-09-20 20:17:33
Divine Cuts Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 86378 42570,https://www.instagram.com/divine_cut_unisex_salon/,4.9,,"Ambardhura road, opp. Panchanai Enclave, salbari, Siliguri, Panchanai, West Bengal 734002",salbari,26.7663017,88.3865213,ChIJQxFIDkJH5DkRXL7D6k8O1Q4,https://www.google.com/maps/place/?q=place_id:ChIJQxFIDkJH5DkRXL7D6k8O1Q4,part_328,2026-09-20 20:17:33
Radiance Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 93327 23018,N/A,4.8,,"Fashion Factory, Station Feeder Rd, near Reliance, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7051409,88.4229471,ChIJ-8ugsIJB5DkRkJr7j4HnQZk,https://www.google.com/maps/place/?q=place_id:ChIJ-8ugsIJB5DkRkJr7j4HnQZk,part_328,2026-09-20 20:17:33
Amberlyn Unisex Salon and Academy,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 99862 21358,https://www.headtoessalontrainingcenter.com/,5.0,,"Hill Cart Road, Salbari, opposite of Union Bank of India, Siliguri, West Bengal 734002",734003,26.760255299999997,88.38811559999999,ChIJfczLNThH5DkRdLVVyJetyZk,https://www.google.com/maps/place/?q=place_id:ChIJfczLNThH5DkRdLVVyJetyZk,part_328,2026-09-20 20:17:33
Meli Glamourous Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 93321 47669,N/A,5.0,,"Kaveri Residency, Siliguri, Kalamjote, West Bengal 734012",734003,26.6964963,88.37914579999999,ChIJIRQ66dBH5DkRoFN1bEJWtQ4,https://www.google.com/maps/place/?q=place_id:ChIJIRQ66dBH5DkRoFN1bEJWtQ4,part_328,2026-09-20 20:17:33
Comb & Scissor unisex salon,Unisex Salon,Hair salon,"Hair salon, Beautician, Nail salon",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 89278 64755,N/A,4.9,,"Bylane: city pharmacy, Tilak Rd, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.715005299999998,88.42930679999999,ChIJyZvDocdB5DkRKMhlhFSYaNo,https://www.google.com/maps/place/?q=place_id:ChIJyZvDocdB5DkRKMhlhFSYaNo,part_328,2026-09-20 20:17:33
Neeldavid Unisex Salon City Centre,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Waxing hair removal service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 95938 55898,https://www.neeldavids.com/,3.8,,"City Centre, 1st Floor, J-Block, Siliguri, West Bengal 734010",Ujanu P,26.7248669,88.3958904,ChIJJ7Icy81G5DkRPuzNPAnT9ZU,https://www.google.com/maps/place/?q=place_id:ChIJJ7Icy81G5DkRPuzNPAnT9ZU,part_328,2026-09-20 20:17:34
