business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"RC Marbles and Tiles, Jhonshon Tiles and Ambani Tiles",Tile and Marble Showroom,Marble supplier,Marble supplier,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 99857 78209,N/A,4.9,,"Ahmadpur, Dist, Kusumjatra, West Bengal 731201",731101,23.814932799999998,87.6917436,ChIJQc3PdxXn-TkRKY8qiXJTV6s,https://www.google.com/maps/place/?q=place_id:ChIJQc3PdxXn-TkRKY8qiXJTV6s,part_325,2026-09-20 20:47:36
City Marbles সিটি মারবেলস,Tile and Marble Showroom,Marble supplier,Marble supplier,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 94755 47404,N/A,5.0,,"Suri - Bolpur Main Rd, Khosnator P, West Bengal 731102",731101,23.8852811,87.5453067,ChIJ3Vb7Rs_j-TkRpPIwvqLLP4g,https://www.google.com/maps/place/?q=place_id:ChIJ3Vb7Rs_j-TkRpPIwvqLLP4g,part_325,2026-09-20 20:47:36
Kajaria Tiles Authorised Showroom - Taramaa Marbles,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 94344 41668,https://dealers.kajariaceramics.com/kajaria-tiles-in-west-bengal-birbhum-mayureswar-82610,,,"Akhna, Kotasur, Mayureswar, West Bengal 731213",Akhna,23.9524001,87.7260092,ChIJPRww96Hx-TkRDaXNI1DZJuU,https://www.google.com/maps/place/?q=place_id:ChIJPRww96Hx-TkRDaXNI1DZJuU,part_325,2026-09-20 20:47:36
JAISWAL MARBLE HOUSE,Tile and Marble Showroom,Tile store,"Tile store, Home goods store, Marble supplier",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 90025 12480,N/A,4.6,,"National Highway 60, opposite of Canara Bank, Lotus Press, more, Rampurhat, West Bengal 731224","Lotus Press, more",24.1747138,87.7909246,ChIJE-kpHWIe-jkRIxY_a7POWNA,https://www.google.com/maps/place/?q=place_id:ChIJE-kpHWIe-jkRIxY_a7POWNA,part_325,2026-09-20 20:47:36
"H & R Johnson Tiles - Agarwal Marble - Best Tiles for Bathroom, Kitchen, Wall & Floor in Birbhum",Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 80 3776 2885,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-birbhum/tiles-shop-in-sainthia/h-r-johnson-tiles-dealer-agarwal-marble-in-sainthia-birbhum--cd6becd7-588a-405e-83b5-ca40fb06cef3/home,4.4,,"Sainthia- Suri Rd, near Power House, Sainthia, West Bengal 731234",731101,23.9456845,87.6713592,ChIJWWb5Gc_6-TkRGsaWB87CCOc,https://www.google.com/maps/place/?q=place_id:ChIJWWb5Gc_6-TkRGsaWB87CCOc,part_325,2026-09-20 20:47:36
JOYPUR MARBLES,Tile and Marble Showroom,Store,Store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 90028 38458,N/A,4.4,,"Labpur, Baragoga, West Bengal 731303",731101,23.8165606,87.78637189999999,ChIJd-1BjIfr-TkRWiuTrJwh050,https://www.google.com/maps/place/?q=place_id:ChIJd-1BjIfr-TkRWiuTrJwh050,part_325,2026-09-20 20:47:36
Kajaria Tiles Authorised Showroom - Meera Marbles,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 86176 40615,https://dealers.kajariaceramics.com/kajaria-tiles-in-west-bengal-birbhum-bolpur-95123,,,"Jambuni, Bolpur, West Bengal 731204",Jambuni,23.665742299999998,87.67488929999999,ChIJWZ9Nwhbd-TkRK8Atx-sDEMw,https://www.google.com/maps/place/?q=place_id:ChIJWZ9Nwhbd-TkRK8Atx-sDEMw,part_325,2026-09-20 20:47:36
Kajaria Tiles Authorised Showroom - Agarwal Marble And Construction LLP,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 98327 15267,https://dealers.kajariaceramics.com/kajaria-tiles-in-west-bengal-birbhum-saithia-38618,,,"Agarwal Marble and Construction LLP Sh 11, Biswas Hindu Hotel Kundala, Akna, Sainthia, West Bengal 731218",731101,23.952883999999997,87.723265,ChIJm4jXl67x-TkRWo5xdvNiklA,https://www.google.com/maps/place/?q=place_id:ChIJm4jXl67x-TkRWo5xdvNiklA,part_325,2026-09-20 20:47:36
Choudhary marble and tiles labpur,Tile and Marble Showroom,Marble supplier,Marble supplier,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 79086 99723,https://www.facebook.com/choudhurimarble?mibextid=ZbWKwL,3.7,,"Labpur Market, Garurhat, hub, Labpur, Baragoga, West Bengal 731303","Garurhat, hub",23.8148126,87.7906118,ChIJZT66o-7r-TkRcAo1kFt32tA,https://www.google.com/maps/place/?q=place_id:ChIJZT66o-7r-TkRcAo1kFt32tA,part_325,2026-09-20 20:47:36
Kajaria Tiles Authorised Showroom - Bhai Bhai Marble,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",N/A,https://dealers.kajariaceramics.com/kajaria-tiles-in-west-bengal-birbhum-ps-rampurhat-61213,,,"4, Belia, Chandipur Tarapith Road Belia, More, P.S, Barshal, Rampurhat, West Bengal 731233",P.S,24.136138499999998,87.7840969,ChIJ31IusQcf-jkR28PHgWFcXq4,https://www.google.com/maps/place/?q=place_id:ChIJ31IusQcf-jkR28PHgWFcXq4,part_325,2026-09-20 20:47:36
