business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rohit enterprises,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,,,"Deyourhat, Nishiganj, Dewanbas, West Bengal 736157",Deyourhat,26.2992685,89.3034182,ChIJ0dycUTEF4zkR3FmBFh_gc4E,https://www.google.com/maps/place/?q=place_id:ChIJ0dycUTEF4zkR3FmBFh_gc4E,part_330,2026-09-20 20:26:39
K.M.B. home,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"78Q4+7V7, Purbba Nilangibari, West Bengal 736157",736157,26.288156999999998,89.3071686,ChIJESXx-VYF4zkRI93XGz44pjE,https://www.google.com/maps/place/?q=place_id:ChIJESXx-VYF4zkRI93XGz44pjE,part_330,2026-09-20 20:26:39
P.P.P.S HOUSE,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"67XQ+X9V, Bhogdabri, West Bengal 736157",736157,26.2499786,89.28843169999999,ChIJ_S3YK_gF4zkRJo_P2qsP2fM,https://www.google.com/maps/place/?q=place_id:ChIJ_S3YK_gF4zkRJo_P2qsP2fM,part_330,2026-09-20 20:26:39
Sarkar House,Property Developers,Housing society,Housing society,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"79M4+FRV, Chhat Elajan, West Bengal 736157",736157,26.282967,89.3573873,ChIJyRF2UgAD4zkRtyczxJszZtY,https://www.google.com/maps/place/?q=place_id:ChIJyRF2UgAD4zkRtyczxJszZtY,part_330,2026-09-20 20:26:39
Mantosh home,Property Developers,Housing society,Housing society,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"79H2+PC8, Elejanerkuthi, West Bengal 736157",736157,26.2792867,89.3510917,ChIJl6eTEgAD4zkRH7APLv03qUg,https://www.google.com/maps/place/?q=place_id:ChIJl6eTEgAD4zkRH7APLv03qUg,part_330,2026-09-20 20:26:39
Sunilima Niloy,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"878X+V64, SH16, opposite of Netaji Sporting Club, Nishiganj, Runibari, West Bengal 736157",736157,26.3171404,89.298086,ChIJcYidMGMF4zkRveF3bdRYo_M,https://www.google.com/maps/place/?q=place_id:ChIJcYidMGMF4zkRveF3bdRYo_M,part_330,2026-09-20 20:26:39
Washim House,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,1.0,,"789H+PJC, Hastabud Kasaldanga, West Bengal 736157",736157,26.2693034,89.3290069,ChIJY6h_bgAD4zkR_Gu5K1lGd68,https://www.google.com/maps/place/?q=place_id:ChIJY6h_bgAD4zkR_Gu5K1lGd68,part_330,2026-09-20 20:26:39
Katamari,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"78HM+MR3, Katamari, West Bengal 736157",736157,26.279125699999998,89.3345537,ChIJ7wfndwAD4zkR531ziCvb4MA,https://www.google.com/maps/place/?q=place_id:ChIJ7wfndwAD4zkR531ziCvb4MA,part_330,2026-09-20 20:26:39
সরকার হাউস,Property Developers,Housing society,Housing society,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"8985+GR5, Paschim Moamari, West Bengal 736157",736157,26.3162688,89.3596199,ChIJa41ofQAD4zkRQneZ6TDfP7g,https://www.google.com/maps/place/?q=place_id:ChIJa41ofQAD4zkRQneZ6TDfP7g,part_330,2026-09-20 20:26:39
Sujan,Property Developers,Housing development,Housing development,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,1.0,,"787R+2C5, Balagram, West Bengal 736157",736157,26.262598699999998,89.3410328,ChIJS0p5VwAD4zkR50ZAc1tRqLA,https://www.google.com/maps/place/?q=place_id:ChIJS0p5VwAD4zkR50ZAc1tRqLA,part_330,2026-09-20 20:26:39
Abdul Haris Home,Property Developers,Housing society,Housing society,736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO",N/A,N/A,5.0,,"House No 091, Rajpur, Bairati, West Bengal 736157",736157,26.252276799999997,89.31305239999999,ChIJoaoJUwAF4zkRBmDpCdgV91Y,https://www.google.com/maps/place/?q=place_id:ChIJoaoJUwAF4zkRBmDpCdgV91Y,part_330,2026-09-20 20:26:39
