business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PARTHA SALES,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.3,,"Durlavganj, Chandrakona Road, Sat Bankura, West Bengal 721253",Durlavganj,22.728220099999998,87.3387072,ChIJPZJ9_cXl9zkRMEibMA2rr6M,https://www.google.com/maps/place/?q=place_id:ChIJPZJ9_cXl9zkRMEibMA2rr6M,part_322,2026-09-20 20:17:29
Laxminarayan Auto Parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91531 51685,N/A,4.7,,"Hospital More, Chandrakona, West Bengal 721201",721201,22.7243437,87.51142999999999,ChIJg730wej49zkRgBiJdeBy_hE,https://www.google.com/maps/place/?q=place_id:ChIJg730wej49zkRgBiJdeBy_hE,part_322,2026-09-20 20:17:29
Dey Auto,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94741 84067,N/A,5.0,,"Bus Stand Rd, Chandrakona Road, Dwari Geria, West Bengal 721253",721201,22.7351615,87.33946519999999,ChIJHbj6qL_l9zkRlA7wBq4oevE,https://www.google.com/maps/place/?q=place_id:ChIJHbj6qL_l9zkRlA7wBq4oevE,part_322,2026-09-20 20:17:29
Das auto parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,,,"P8MW+FP, Dabcha, Chandrakona Road, Dwari Geria, West Bengal 721253",Dabcha,22.7337272,87.3468073,ChIJfxogXgDl9zkRzDo9xbSAujc,https://www.google.com/maps/place/?q=place_id:ChIJfxogXgDl9zkRzDo9xbSAujc,part_322,2026-09-20 20:17:29
Kalika Motor (KM),Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97336 18588,N/A,4.2,,"NH60, beside SastaSundar, opposite Side of Muthooth Finence, Durlavganj, Sarbera, Chandrakona Road, West Bengal 721253",Durlavganj,22.7368462,87.3391359,ChIJZZH2YKXl9zkR_upaZVDNyYo,https://www.google.com/maps/place/?q=place_id:ChIJZZH2YKXl9zkR_upaZVDNyYo,part_322,2026-09-20 20:17:29
RANKINI MATA AUTO REPAIRING SHOP,Auto Spare Parts Shop,Auto repair shop,"Auto repair shop, Motorcycle parts store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89265 03897,N/A,4.7,,"Rankinimata Auto Senter, near Regulated Market, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7277992,87.5119182,ChIJrx1PPxT59zkRk8ENsim97R0,https://www.google.com/maps/place/?q=place_id:ChIJrx1PPxT59zkRk8ENsim97R0,part_322,2026-09-20 20:17:29
SREE DURGA AUTO,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,,"P8PQ+HR3, NH 14, Chandrakona Road, Dwari Geria, West Bengal 721253",721201,22.7363938,87.33955379999999,ChIJIz_xx1Xk9zkR7ML-yOgTTss,https://www.google.com/maps/place/?q=place_id:ChIJIz_xx1Xk9zkR7ML-yOgTTss,part_322,2026-09-20 20:17:29
Baba Loknath Auto Centre,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,,"QJFP+G2J, Raniganja, Madhabpur, West Bengal 721232",Raniganja,22.7738321,87.6350114,ChIJ03FUNkEF-DkRSEukQQAvG8A,https://www.google.com/maps/place/?q=place_id:ChIJ03FUNkEF-DkRSEukQQAvG8A,part_322,2026-09-20 20:17:29
ISTI JAGRIHI UTSAV,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 83485 03656,N/A,,,"Chandrkona Road, Garhbeta Rd, near Santinagar Football Math, Durlavganj, West Bengal 721253",Durlavganj,22.7387831,87.3391286,ChIJ-97GNeDl9zkRafffAMl4A8s,https://www.google.com/maps/place/?q=place_id:ChIJ-97GNeDl9zkRafffAMl4A8s,part_322,2026-09-20 20:17:29
MA DURGA AUTO/TYRE CENTER,Auto Spare Parts Shop,Auto parts store,Auto parts store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 6295 130 932,N/A,2.7,,"Goshibazer, Chandrakona, West Bengal 721201",Goshibazer,22.7302505,87.5150876,ChIJ96Vr7Tn59zkR47jIqmtwdOk,https://www.google.com/maps/place/?q=place_id:ChIJ96Vr7Tn59zkR47jIqmtwdOk,part_322,2026-09-20 20:17:29
