business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raja Store Coochbehar,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94341 69163,N/A,4.0,8,"8CFW+R9C, Bhabaniganj Bazaar Rd, Jalpaiguri, Cooch Behar, West Bengal 736101",736101,26.3245589,89.4458841,ChIJUyh_dgD_4jkRvZEXkXNgg4g,https://www.google.com/maps/place/?q=place_id:ChIJUyh_dgD_4jkRvZEXkXNgg4g,part_330,2026-09-20 20:18:04
Maa Kali Silpalay,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 91261 00672,N/A,5.0,1,"Sunity Rd, Cooch Behar, West Bengal 736101",736101,26.3221693,89.44421439999999,ChIJV9oQ3qv94jkRZVTG8ckRZBM,https://www.google.com/maps/place/?q=place_id:ChIJV9oQ3qv94jkRZVTG8ckRZBM,part_330,2026-09-20 20:18:04
Moni Jewellery,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 84367 02108,N/A,3.5,2,"New Market, Nil, Cooch Behar, West Bengal 736101",736101,26.3248003,89.4457681,ChIJ-xsOtYL-4jkRVbv7jAL4cXQ,https://www.google.com/maps/place/?q=place_id:ChIJ-xsOtYL-4jkRVbv7jAL4cXQ,part_330,2026-09-20 20:18:04
Jiya Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 76022 66699,N/A,5.0,1,"Rup Narayan Rd, New Market, Cooch Behar, West Bengal 736101",New Market,26.324824999999997,89.4454626,ChIJP07AuUT_4jkRMmhr5RwlrZI,https://www.google.com/maps/place/?q=place_id:ChIJP07AuUT_4jkRMmhr5RwlrZI,part_330,2026-09-20 20:18:04
Matri Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,4.1,8,"Biswa Singha Rd, Cooch Behar, West Bengal 736101",736101,26.323783199999998,89.445172,ChIJFcQlfgD94jkR1R4k0wO9OfM,https://www.google.com/maps/place/?q=place_id:ChIJFcQlfgD94jkR1R4k0wO9OfM,part_330,2026-09-20 20:18:04
Creative Dinhata,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,3.9,64,"Mahamaya Complex, Ma, Chowrahat Rd, Bazar, Bhangni Pratham Khanda, Dinhata, West Bengal 736135",Bazar,26.128489,89.46403,ChIJx965Gybh4jkRPcUcVfD8A5I,https://www.google.com/maps/place/?q=place_id:ChIJx965Gybh4jkRPcUcVfD8A5I,part_330,2026-09-20 20:18:04
Kamrupa Gold Buyers Opc Private Limited,Artificial Jewellery and Accessories,Jewelry buyer,Jewelry buyer,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 86388 49720,https://www.kamrupagoldbuyers.in/,5.0,5,"Choupati, Siliguri Rd, Burirpat, Khagrabari, Cooch Behar, West Bengal 736179","Burirpat, Khagrabari",26.344870999999998,89.448295,ChIJTfnQuAf_4jkRaIv_3DUDNCs,https://www.google.com/maps/place/?q=place_id:ChIJTfnQuAf_4jkRaIv_3DUDNCs,part_330,2026-09-20 20:18:05
Kanhai Jewels,Artificial Jewellery and Accessories,Wholesale jeweler,"Wholesale jeweler, Supplier, Jeweler, Jewelry designer, Jewelry equipment supplier, Jewelry Exporter, Jewelry manufacturer, Jewelry store, Wholesale market",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 75069 96883,https://www.kanhaijewels.com/,4.8,585,"Mangaldas Market, 135/136, Sheikh Memon St, opp. Jama Masjid Building, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400002","Lohar Chawl, Kalbadevi",18.9486383,72.8323697,ChIJq6qq6hjO5zsRJGJzxxbkOzA,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6hjO5zsRJGJzxxbkOzA,part_330,2026-09-20 20:18:07
"Manek Ratna - Imitation & Fashion Jewellery Manufacturers , Wholesalers & Supplier",Artificial Jewellery and Accessories,Wholesale jeweler,"Wholesale jeweler, Bridal shop, Costume jewelry shop, Jeweler, Jewelry designer, Jewelry Exporter, Jewelry manufacturer, Jewelry store, Manufacturer, Wholesaler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 99309 55640,https://www.manekratna.com/,4.7,241,"3rd Floor, Block No. 304, Ryna Arcade, Haji Zakeria Rd, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064","Malad, Navy Colony, Mamledarwadi, Malad West",19.184932,72.844741,ChIJo7ycfSLO5zsRhelyTHXnzgE,https://www.google.com/maps/place/?q=place_id:ChIJo7ycfSLO5zsRhelyTHXnzgE,part_330,2026-09-20 20:18:07
G Karmakar & Sons Jewellers,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94346 86738,N/A,5.0,1,"8CCW+W56, Cooch Behar, West Bengal 736101",736101,26.3222843,89.4453765,ChIJI-yKcij84jkR9t7z0pT9Kq4,https://www.google.com/maps/place/?q=place_id:ChIJI-yKcij84jkR9t7z0pT9Kq4,part_330,2026-09-20 20:18:07
