business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BIRBHUM COMPUTER,Computer Sales and Laptop Repair,Computer store,Computer store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 70011 62494,N/A,5.0,,"BARABAGAN ROAD, Suri, West Bengal 731101",731101,23.9088003,87.5171792,ChIJpSLCbYNZ9zkR-pMnijDCUn8,https://www.google.com/maps/place/?q=place_id:ChIJpSLCbYNZ9zkR-pMnijDCUn8,part_325,2026-09-20 20:47:47
Chatterjee computers,Computer Sales and Laptop Repair,Electronics store,Electronics store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 98009 36699,N/A,4.4,,"D S A Market, 1st Floor, Rabindrapally, Suri, West Bengal 731101",731101,23.8985058,87.52658819999999,ChIJiwQZdmtY9zkRrMmUkMHDJaU,https://www.google.com/maps/place/?q=place_id:ChIJiwQZdmtY9zkRrMmUkMHDJaU,part_325,2026-09-20 20:47:47
J.N.COMPUTERS,Computer Sales and Laptop Repair,Computer store,Computer store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 97320 40489,N/A,4.1,,"J.L.Banerjee Road Room No. C-60, Suri, West Bengal 731101",731101,23.9040438,87.5293773,ChIJo1MAB25Y9zkRpRoy6z66MlU,https://www.google.com/maps/place/?q=place_id:ChIJo1MAB25Y9zkRpRoy6z66MlU,part_325,2026-09-20 20:47:47
JABS SALES AND SERVICE,Computer Sales and Laptop Repair,Computer store,Computer store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 82508 20912,N/A,5.0,,"near Jabs Academy, Dangal Para, Suri, West Bengal 731101",Dangal Para,23.9066875,87.5246875,ChIJ17wbGwBZ9zkRG_Vtq4cvRsA,https://www.google.com/maps/place/?q=place_id:ChIJ17wbGwBZ9zkRG_Vtq4cvRsA,part_325,2026-09-20 20:47:47
PROTIMA INFOTECH & AC SERVICES AND REPAIR,Computer Sales and Laptop Repair,Computer support and services,Computer support and services,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",N/A,N/A,4.8,,"Rabindra pally Indoor Stadium, Suri, West Bengal 731101",731101,23.897748099999998,87.5264569,ChIJiWTyL7hZ9zkRR821JBqbR6c,https://www.google.com/maps/place/?q=place_id:ChIJiWTyL7hZ9zkRR821JBqbR6c,part_325,2026-09-20 20:47:47
SIKHA Computech,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer service, Service establishment",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 97321 66003,https://www.sikhacomputech.in/,4.3,,"SIKHA Computech, 731101, India",731101,24.3580787,87.84169059999999,ChIJs8mvRRZY9zkRxjgn9cxDwFI,https://www.google.com/maps/place/?q=place_id:ChIJs8mvRRZY9zkRxjgn9cxDwFI,part_325,2026-09-20 20:47:47
Birbhum Infotech,Computer Sales and Laptop Repair,Computer store,Computer store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 94340 07537,N/A,4.0,,"Bolpur - Santiniketan Rd, Bolpur, West Bengal 731204",731101,23.6657168,87.69525329999999,ChIJ-Tb-1K_c-TkRySsm1YbkvSY,https://www.google.com/maps/place/?q=place_id:ChIJ-Tb-1K_c-TkRySsm1YbkvSY,part_325,2026-09-20 20:47:47
REKHA I.T SOLUTION,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Printer repair service, Toner cartridge supplier",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 76797 44989,N/A,4.8,,"SP MORE BUS STOP AND JOY MEDICAL SIDE, SP MORE, Suri, West Bengal 731101",Sri Bhumi Pally,23.9179507,87.52115549999999,ChIJnSqIwE9Z9zkRhMKGokL-IlA,https://www.google.com/maps/place/?q=place_id:ChIJnSqIwE9Z9zkRhMKGokL-IlA,part_325,2026-09-20 20:47:47
Computer Junction,Computer Sales and Laptop Repair,Computer store,"Computer store, Electronics store",731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",+91 96747 79196,N/A,4.8,,"1st floor, New Market, Suri, West Bengal 731101",731101,23.9038734,87.5279572,ChIJm8-O-U159zkR1SEu08uhmD4,https://www.google.com/maps/place/?q=place_id:ChIJm8-O-U159zkR1SEu08uhmD4,part_325,2026-09-20 20:47:47
Digital Sphere,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,731101,West Bengal Circle,Kolkata Region,Birbhum Division,"Suri HO, BCollectorate SO, Baruipara SO Birbhum",N/A,N/A,3.4,,"MUNICIPALITY OFFICE MARKET, ATTACHED TO SURI MUNICIPALITY OFFICE, MAIN ROAD, ROOM NO-23,1ST FLR, Suri, West Bengal 731101",731101,23.9105466,87.5266628,ChIJNVH5KHdZ9zkR6xsexioXQRg,https://www.google.com/maps/place/?q=place_id:ChIJNVH5KHdZ9zkR6xsexioXQRg,part_325,2026-09-20 20:47:47
