business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amardeep Hospital Nursing N Maternity Home- best gyanec hospital in ahmedabad,Nursing Home and Maternity Hospital,Hospital,Hospital,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98254 42555,N/A,5.0,1.0,"23/752 geeta nagar.., near torrentpower, Amraiwadi, Ahmedabad, Gujarat 380026","Vikas Nagar, Janata Nagar, Amraiwadi",23.0098993,72.6214233,ChIJc9wjumiHXjkRBXSC3W0eSlE,https://www.google.com/maps/place/?q=place_id:ChIJc9wjumiHXjkRBXSC3W0eSlE,part_322,2026-09-20 20:33:18
S Maternity And Medical Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98200 12410,N/A,4.0,1.0,"Siddhivinayak Building, Bhayandar, Hari Chandra Nagar, Bhayandar East, Mira Bhayandar, Maharashtra 401105","Bhayandar, Hari Chandra Nagar, Bhayandar East",19.3092687,72.8582137,ChIJJ7xVbymw5zsR-jxw0rhW2K0,https://www.google.com/maps/place/?q=place_id:ChIJJ7xVbymw5zsR-jxw0rhW2K0,part_322,2026-09-20 20:33:18
Maa Nursing Home & Maternity Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,N/A,3.4,15.0,"Burarghat, Bagberia, Jamtala Road, Jaynagar, Nimpith, West Bengal 743338",721420,22.165425199999998,88.4281625,ChIJAQAAAAxBAjoR5OJXocSRhQs,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAAxBAjoR5OJXocSRhQs,part_322,2026-09-20 20:33:18
"Aakanksha Maternity & Nursing Home – Gynecology, Obstetrics & Infertility Care in Borivali East, Mumbai",Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Maternity Centre",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 96190 28832,https://aakankshamaternity.com/,4.9,459.0,"301, Navkar Bhavan, 401/501, Rd Number 7, Daulat Nagar, Borivali East, Mumbai, Maharashtra 400066","Daulat Nagar, Borivali East",19.2375011,72.860727,ChIJu8WZTNqw5zsRiVfWYHhP2Uo,https://www.google.com/maps/place/?q=place_id:ChIJu8WZTNqw5zsRiVfWYHhP2Uo,part_322,2026-09-20 20:33:18
Mother Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 62922 41322,N/A,2.4,103.0,"MCGW+P6W, Sukanta Nagar, Michael Nagar, Madhyamgram, Kolkata, West Bengal 700133","Sukanta Nagar, Michael Nagar, Madhyamgram",22.676855999999997,88.4455935,ChIJOYBo8Ruf-DkR4pIuXEE6n3k,https://www.google.com/maps/place/?q=place_id:ChIJOYBo8Ruf-DkR4pIuXEE6n3k,part_322,2026-09-20 20:33:18
Pahlajanis IVF & Women's Hospital,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Birth center, Family planning center, Fertility physician, Hospital, Maternity Centre, Fertility clinic, Women's health clinic, Pregnancy care center, Reproductive health clinic",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 91712 34901,https://pahlajanis.com/centers/raipur,4.6,889.0,"Doordarshan kendra, Shankar Nagar, Raipur, Chhattisgarh 492004",Shankar Nagar,21.2554056,81.6648879,ChIJb6ZWx2jdKDoRkUE4AwzuekU,https://www.google.com/maps/place/?q=place_id:ChIJb6ZWx2jdKDoRkUE4AwzuekU,part_322,2026-09-20 20:33:19
Swastik Nursing Home| Burn & Trauma Hospital - Multi-speciality Hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 79910 31330,https://swastik-nursing-home.com/,4.7,,"32, Jalvihar Colony Rd, Civil Lines, Raipur, Chhattisgarh 492001",Civil Lines,21.2356421,81.6558392,ChIJPwd2qw_dKDoRunIWSqViNvE,https://www.google.com/maps/place/?q=place_id:ChIJPwd2qw_dKDoRunIWSqViNvE,part_322,2026-09-20 20:33:19
Nayantara Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 233 232 5989,http://www.nayantara.org.in/,4.9,,"Gulmohar Colony, South Shivaji Nagar, Maharashtra 416416","South Shivaji Nagar, Nishant Colony",16.849837,74.57994479999999,ChIJWz00ImUYwTsRpLQWkNqSqkI,https://www.google.com/maps/place/?q=place_id:ChIJWz00ImUYwTsRpLQWkNqSqkI,part_322,2026-09-20 20:33:19
Maheshwari Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 751 401 2551,http://www.maheshwarinursinghome.com/,4.7,,"85, New Chandra Nagar, Maharani Laxmi Bai Colony, Lashkar, Gwalior, Madhya Pradesh 474002","New Chandra Nagar, Maharani Laxmi Bai Colony, Lashkar",26.2136091,78.1738103,ChIJ_8-oC57GdjkRg5oywRTnYoY,https://www.google.com/maps/place/?q=place_id:ChIJ_8-oC57GdjkRg5oywRTnYoY,part_322,2026-09-20 20:33:19
Mothercare Nursing Home,Nursing Home and Maternity Hospital,Obstetrician-gynecologist,Obstetrician-gynecologist,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 91372 57623,https://www.mothercarenursinghome.com/,5.0,40.0,"Saraswati, 433, 14th Rd, Khar, Khar West, Mumbai, Maharashtra 400052","Khar, Khar West",19.0710172,72.8329664,ChIJ1XHpJibJ5zsR3b1TGGEFY94,https://www.google.com/maps/place/?q=place_id:ChIJ1XHpJibJ5zsR3b1TGGEFY94,part_322,2026-09-20 20:33:19
Shiva Nursing Home Adityapur,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Diagnostic center, Hospital",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 84097 11177,N/A,4.0,,"1, River View Colony, near R Type, Aditypur Colony Site No 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur Colony Site No 1, Adityapur",22.7863036,86.1716184,ChIJN1LLpqHk9TkRWFn4XoZkG8w,https://www.google.com/maps/place/?q=place_id:ChIJN1LLpqHk9TkRWFn4XoZkG8w,part_322,2026-09-20 20:33:19
Debsishu Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Fertility clinic, Gynecologist, Hospital, Laboratory, Medical clinic, Pharmacy, Surgeon",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 33 2666 7692,N/A,3.7,69.0,"Ambika Tower, 40, Dobson Rd, Babudanga, Pilkhana, Mali Panchghara, Howrah, West Bengal 711101","Babudanga, Pilkhana, Mali Panchghara",22.5929447,88.3414955,ChIJO7QeKOp3AjoR0yJx17ewkRI,https://www.google.com/maps/place/?q=place_id:ChIJO7QeKOp3AjoR0yJx17ewkRI,part_322,2026-09-20 20:33:20
Jeevandeep Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 83370 47097,N/A,3.8,41.0,"Amta Rd, Karuripara, Makardah, Howrah, West Bengal 711405","Karuripara, Makardah",22.624539799999997,88.2376243,ChIJ1eYOMfCB-DkRFmyVmChIlHY,https://www.google.com/maps/place/?q=place_id:ChIJ1eYOMfCB-DkRFmyVmChIlHY,part_322,2026-09-20 20:33:20
NEW HEALTH CARE NURSING HOME,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 89106 22315,N/A,4.3,6.0,"Bargachia Level Crossing, SH15, Bargachia, West Bengal 711404",721420,22.667175,88.1323934,ChIJbfosGcl_-DkRK8qOsaNDJws,https://www.google.com/maps/place/?q=place_id:ChIJbfosGcl_-DkRK8qOsaNDJws,part_322,2026-09-20 20:33:20
Bargachia Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,N/A,3.5,4.0,"M47Q+5MC, Howrah-Domjur-Bargachhia-Amta Road, Opp IndianOil, Bargachia, Bankul, West Bengal 711404",721420,22.6629319,88.1391306,ChIJcQTeAE5--DkRQYeZS40qOOU,https://www.google.com/maps/place/?q=place_id:ChIJcQTeAE5--DkRQYeZS40qOOU,part_322,2026-09-20 20:33:20
Maxcare Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98046 17858,N/A,3.9,12.0,"Makardah Road, Kabar Para Rd, Bankra, Howrah, West Bengal 711403",Bankra,22.6115989,88.2756294,ChIJp7qCHHiC-DkR8Y7XJYX76sk,https://www.google.com/maps/place/?q=place_id:ChIJp7qCHHiC-DkR8Y7XJYX76sk,part_322,2026-09-20 20:33:20
