business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DELTIC - SHYAM E VEHICLES,Car and Bike Battery Dealer,Electric motor vehicle dealer,Electric motor vehicle dealer,721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 97353 75448,N/A,4.8,106,"2P3F+34C, Latatjanka road, Mugberia, Suadighi, West Bengal 721425",Mugberia,22.0026875,87.72281249999999,ChIJi_9kQrPbAjoRWubQ_ywx9hc,https://www.google.com/maps/place/?q=place_id:ChIJi_9kQrPbAjoRWubQ_ywx9hc,part_323,2026-09-20 20:21:11
Maity Motors,Car and Bike Battery Dealer,Motorcycle parts store,Motorcycle parts store,721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 97338 43494,N/A,3.8,17,"2P2M+98M, Madha Khali, Bhupati Nagar, West Bengal 721425",721454,22.0009537,87.7332879,ChIJz5HTwePaAjoRy-4cDTmRAIc,https://www.google.com/maps/place/?q=place_id:ChIJz5HTwePaAjoRy-4cDTmRAIc,part_323,2026-09-20 20:21:11
SANNY BATTERY,Car and Bike Battery Dealer,Battery Store,Battery Store,721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 90643 88043,N/A,4.0,1,"Contai Rupasi Bypas, Contai, West Bengal 721401",Kanthi,21.7844585,87.7496931,ChIJFzCpkMgnAzoRi6NyBHSdpko,https://www.google.com/maps/place/?q=place_id:ChIJFzCpkMgnAzoRi6NyBHSdpko,part_323,2026-09-20 20:21:11
Authorised Dealer - AMARON,Car and Bike Battery Dealer,Battery Store,"Battery Store, Car battery store, Electronics manufacturer, Motorcycle parts store",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 70445 63999,https://m.facebook.com/AmaronShopKolkata,4.8,20,"83, Dr. Suresh Chandra Banerjee Road, Byepass Connector, near Ragini Cinema Hall, Beleghata, Kolkata, West Bengal 700010","Subhas Sarobar Park, Phoolbagan, Beleghata",22.561817899999998,88.40743669999999,ChIJW8X7R0h1AjoRQNu2cpcDRGo,https://www.google.com/maps/place/?q=place_id:ChIJW8X7R0h1AjoRQNu2cpcDRGo,part_323,2026-09-20 20:21:11
D Zeeshan Battery Centre,Car and Bike Battery Dealer,Battery Wholesaler,"Battery Wholesaler, Electronics manufacturer",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 93391 08641,N/A,4.2,59,"Serampore, West Bengal 712201",Serampore,22.7560519,88.3460149,ChIJNwA2tOGa-DkRxBzHoLd6x8I,https://www.google.com/maps/place/?q=place_id:ChIJNwA2tOGa-DkRxBzHoLd6x8I,part_323,2026-09-20 20:21:11
Alpha battery shop,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Store, Battery Wholesaler",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 80814 96633,N/A,5.0,132,"G-5/1, Vijaya Krishna Residency, 1-58/10, Gachibowli - Miyapur Rd, beside sbi bank, Viswaswara Nagar Colony, Shanti Nagar Colony, Madeenaguda, Hyderabad, Telangana 500049","Viswaswara Nagar Colony, Shanti Nagar Colony",17.4953877,78.3446337,ChIJK6aEzIOTyzsRvA1Q599-MUI,https://www.google.com/maps/place/?q=place_id:ChIJK6aEzIOTyzsRvA1Q599-MUI,part_323,2026-09-20 20:21:12
Arohi battery house - Battery jump start and car jump start and Road side assistance,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Store, Battery Wholesaler",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 76769 24329,https://arohi-battery-house.grexa.site/,5.0,959,"2nd, 26, 13th cross, main, LCR School Rd, BK Nagar, Yeswanthpur, Bengaluru, Karnataka 560022","BK Nagar, Yeswanthpur",13.0277456,77.55443559999999,ChIJuafsJws9rjsRgtJe1pE8kTo,https://www.google.com/maps/place/?q=place_id:ChIJuafsJws9rjsRgtJe1pE8kTo,part_323,2026-09-20 20:21:12
Raj Battery & Tyres - Car & Inverter Battery Dealership in Pune | Car Battery | Inverter Battery | Bike Battery | All Tyres,Car and Bike Battery Dealer,Battery Wholesaler,Battery Wholesaler,721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 97640 47188,http://www.batteryraj.com/,4.8,145,"Mundwa -Kharadi Rd, near Bharat Petrol Pump, Santipur, Thite Nagar, Kharadi, Pune, Maharashtra 411014","Santipur, Thite Nagar, Kharadi",18.5376533,73.9343837,ChIJkZkjMYDBwjsRqUUz3rYrEv0,https://www.google.com/maps/place/?q=place_id:ChIJkZkjMYDBwjsRqUUz3rYrEv0,part_323,2026-09-20 20:21:12
Battery Hub - Service and Sales EXIDE AMARON BATTERY DEALERS LUMINOUS INVERTER BATTERY DEALERS CAR JUMP START SERVICE,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Store, Battery Wholesaler",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 99018 91818,N/A,5.0,1325,"No.14, Post, Kadabagere, Byandahalli, Bengaluru, Karnataka 562130",Kadabagere,13.0043484,77.44232029999999,ChIJq8ood4g7rjsRY41cfhwVvfw,https://www.google.com/maps/place/?q=place_id:ChIJq8ood4g7rjsRY41cfhwVvfw,part_323,2026-09-20 20:21:12
Battery Age Ravet- Exide/Amaron Battery | Inverter Battery Dealer,Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Manufacturer, Battery Wholesaler, Car battery store, Electronics manufacturer",721454,West bengal circle,South Bengal Region,Contai Division,"Alukaranbarh BO, Barhat BO, Amarshi SO",+91 77670 12801,https://www.batterydealerpune.com/contact-us.html#Ravet,4.9,49,"Ground floor, Dharaskar Building, Bus Stop, opp. K Ville Society, Adarsh Nagar, Last, Ravet, Pimpri-Chinchwad, Maharashtra 412101","Adarsh Nagar, Last, Ravet",18.6662285,73.7412171,ChIJ49vjhBmxwjsRWOv1FeY4mC0,https://www.google.com/maps/place/?q=place_id:ChIJ49vjhBmxwjsRWOv1FeY4mC0,part_323,2026-09-20 20:21:12
