business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Renault Raiganj,Car Showroom and Used Car Dealer,Renault dealer,"Renault dealer, Auto Dent Removal Service Station, Auto repair shop, Auto Accessories Store, Car dealer",732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 93117 00692,https://www.renault.co.in/?utm_medium=googleplaces&utm_source=locator,5.0,446.0,"113/108B, Raiganj, West Bengal 733134",732204,25.598864199999998,88.1244533,ChIJJdl8HkDV-jkR4o4wufXWkIQ,https://www.google.com/maps/place/?q=place_id:ChIJJdl8HkDV-jkR4o4wufXWkIQ,part_327,2026-09-20 20:22:41
Vaishno Motors,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Auto market, Car dealer, Car finance and loan company, Motor vehicle dealer, Second hand store",732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 98311 56945,http://www.vaishnomotors.com/,4.4,,"3/8, Rajkrishna Chatterjee Rd, near Dolna Day school, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.5193287,88.3776592,ChIJuyPNf8t2AjoRhhS8_RG0r0A,https://www.google.com/maps/place/?q=place_id:ChIJuyPNf8t2AjoRhhS8_RG0r0A,part_327,2026-09-20 20:22:42
My Carz,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 90020 50000,http://www.mycarzonline.com/,4.5,,"Mb Tower, Rajarhat Main Rd, Gopalpur I, Bablatala, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Bablatala, Rajarhat",22.633886999999998,88.4629648,ChIJyZBIa9yf-DkRFeKKXWBVuRU,https://www.google.com/maps/place/?q=place_id:ChIJyZBIa9yf-DkRFeKKXWBVuRU,part_327,2026-09-20 20:22:42
Mahindra First Choice Mukesh Auto / RBS AUTO Salt Lake,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Car dealer",732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 98306 61138,https://www.mahindrafirstchoice.com/dealer/west-bengal/kolkata,4.5,,"no 4, Rbs Auto, Water tank, AD-65, AD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","AD Block, Sector 1, Bidhannagar",22.5959498,88.4069073,ChIJ6f-_f-R1AjoRdrDTpks8nAA,https://www.google.com/maps/place/?q=place_id:ChIJ6f-_f-R1AjoRdrDTpks8nAA,part_327,2026-09-20 20:22:42
URAAN ON WHEELS,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 90389 12323,http://www.uraanonwheels.com/,4.9,,"18C, Ground Floor, Kabir Rd, Lake Range, Kalighat, Kolkata, West Bengal 700026","Lake Range, Kalighat",22.512606899999998,88.34762889999999,ChIJne7KCphxAjoRUlstq66q4iA,https://www.google.com/maps/place/?q=place_id:ChIJne7KCphxAjoRUlstq66q4iA,part_327,2026-09-20 20:22:42
car&bike (by Mahindra First Choice) Royal Motors - Tollygunge,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer, Motor vehicle dealer, Vehicle inspection service",732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 77997 40063,https://www.carandbike.com/used/car-dealers/royal-motors-prop-auto-carriage-pvt-ltd-in-kolkata-2139?utm_source=GMB,5.0,,"Shyama Prasad Mukherjee Rd, Lake Range, Tollygunge, Kolkata, West Bengal 700026","Lake Range, Tollygunge",22.5130639,88.34673889999999,ChIJ6woM3cVxAjoR9giqVaXqHGY,https://www.google.com/maps/place/?q=place_id:ChIJ6woM3cVxAjoR9giqVaXqHGY,part_327,2026-09-20 20:22:42
Amrit Motor,Car Showroom and Used Car Dealer,Car dealer,Car dealer,732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 98318 89961,http://www.amritmotor.com/,4.7,,"109/26, Hazra, Kalighat, Kolkata, West Bengal 700026","Hazra, Kalighat",22.5232284,88.34812389999999,ChIJu2r9mjx3AjoRcRaQkwASUus,https://www.google.com/maps/place/?q=place_id:ChIJu2r9mjx3AjoRcRaQkwASUus,part_327,2026-09-20 20:22:42
VENKATESH MOTORS,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Car dealer",732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 98300 35045,http://venkateshmotors.net/,4.1,,"6B, Kabir Road, near Kalighat metro station Opposite Tollygunge PS , Rashbehari, &, Southern Ave, Kolkata, West Bengal 700026","Lake Range, Kalighat",22.512648,88.3467581,ChIJc4cZiUp3AjoR74anwzeeR6A,https://www.google.com/maps/place/?q=place_id:ChIJc4cZiUp3AjoR74anwzeeR6A,part_327,2026-09-20 20:22:42
Auto Carriage Pvt Ltd,Car Showroom and Used Car Dealer,Car dealer,Car dealer,732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 98300 80635,N/A,4.7,,"Police station, 135 A, Shyama Prasad Mukherjee Rd, Opposite of, Lake Range, Tollygunge, Kolkata, West Bengal 700026","Opposite of, Lake Range, Tollygunge",22.5136266,88.3462552,ChIJ2Qs-INZ2AjoRBUV4sTBd8SE,https://www.google.com/maps/place/?q=place_id:ChIJ2Qs-INZ2AjoRBUV4sTBd8SE,part_327,2026-09-20 20:22:42
The 4 wheel,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO",+91 91637 07766,http://www.the4wheel.com/,4.7,1126.0,"AE- 362, A.E. Block sector 1, AE Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","A.E. Block sector 1, AE Block, Sector 1, Bidhannagar",22.598886999999998,88.415628,ChIJIZARde51AjoRWM7pY2cl6Wc,https://www.google.com/maps/place/?q=place_id:ChIJIZARde51AjoRWM7pY2cl6Wc,part_327,2026-09-20 20:22:43
