business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DIGIFLEX,Flex and Banner Printing,Print shop,Print shop,734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 87805 77401,http://digiflexanand.in/,4.9,,"Nr. Vaibhav Cinema, GF26, Complex, Bakrol Rd, Bakrol, Anand, Gujarat 388001",Purushottam Nagar,22.5613594,72.92297599999999,ChIJ7_DTRnFOXjkRlbwKLkDtWr4,https://www.google.com/maps/place/?q=place_id:ChIJ7_DTRnFOXjkRlbwKLkDtWr4,part_328,2026-09-20 20:25:26
Amazing sign Flexbanner,Flex and Banner Printing,Banner store,"Banner store, Advertising agency, Print shop, Design agency, Marketing agency, Sign shop, Vinyl sign shop",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 76987 49339,N/A,5.0,,"B tower, Char Rasta, Rudraksh Bliss Vaikunth, B-13, Waghodia, Madhupur, Vadodara, Gujarat 390019",Waghodia,22.3027153,73.2500764,ChIJk500KlvPXzkRbbO3zEMrvZU,https://www.google.com/maps/place/?q=place_id:ChIJk500KlvPXzkRbbO3zEMrvZU,part_328,2026-09-20 20:25:26
Smart Advertising Flex Printing,Flex and Banner Printing,Print shop,Print shop,734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 76209 62681,N/A,4.8,,"Mumbai Banglore Highway, Near Undarpass punawale road, Punawale Sarvice Road, Punawale Rd, near Undarpass, Punawale, Pune, Maharashtra 411033","Punvale Bazar, Punawale",18.6347636,73.74105589999999,ChIJuT4Qk1G7wjsR6tP52KB_L9w,https://www.google.com/maps/place/?q=place_id:ChIJuT4Qk1G7wjsR6tP52KB_L9w,part_328,2026-09-20 20:25:26
Flex Press,Flex and Banner Printing,Digital printing service,"Digital printing service, Banner store, Print shop, Sign shop, Vinyl sign shop",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 98227 67073,N/A,4.2,,"Shantiniketan chowk, Police station, Shop No.2, Abhijeet apartment, Gangapur Rd, next to DK Nagar Road, nr. Prasad mangal karyalay, Nashik, Maharashtra 422013","Near Nirmala Convent, D. K. Nagar",20.0176703,73.7616269,ChIJZyAQOZDr3TsRn2nNJx1FXTw,https://www.google.com/maps/place/?q=place_id:ChIJZyAQOZDr3TsRn2nNJx1FXTw,part_328,2026-09-20 20:25:26
Shubham Digital Print | Best Banner-Flex Printing / Exhibition-Stall Printing / Vinyl / Sunboard / Fabric Printing In Malad,Flex and Banner Printing,Banner store,"Banner store, Digital printer, Digital printing service",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 98190 40658,http://www.shubhamdigitalprint.com/,4.7,,"Shop No-5, Mantri Wadi, Sainath Rd, near by Govindas Hotel, Malad, Daruwala Compound, Malad West, Mumbai, Maharashtra 400064","Malad, Daruwala Compound, Malad West",19.188955399999998,72.84746009999999,ChIJZbiqqOO25zsRC4c-wfRkVJo,https://www.google.com/maps/place/?q=place_id:ChIJZbiqqOO25zsRC4c-wfRkVJo,part_328,2026-09-20 20:25:26
Shree Ganesh Flex Printing & LED BOARD,Flex and Banner Printing,Print shop,"Print shop, Digital printing service",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 88880 86602,N/A,4.4,,"Kiwale, Ravet, Pimpri-Chinchwad, next to maratha darbar, Pune, Maharashtra 412101","Mukai Nagar, Ravet",18.6614906,73.7314255,ChIJ4Zv_6aawwjsR_lD8YF3uvzw,https://www.google.com/maps/place/?q=place_id:ChIJ4Zv_6aawwjsR_lD8YF3uvzw,part_328,2026-09-20 20:25:26
FLEX PRINTING,Flex and Banner Printing,Print shop,Print shop,734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 80 4814 4781,N/A,4.8,,"28/2, VV Giri Colony, Seshadripuram, Bengaluru, Karnataka 560020","VV Giri Colony, Seshadripuram",12.989058,77.57329949999999,ChIJ-xZEqyIWrjsRC8ZbYWRQhbA,https://www.google.com/maps/place/?q=place_id:ChIJ-xZEqyIWrjsRC8ZbYWRQhbA,part_328,2026-09-20 20:25:26
Flex Printing - iMprints,Flex and Banner Printing,Print shop,"Print shop, Commercial printer, Digital printer, Offset Printer, Sign shop",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 98903 04779,N/A,4.3,,"Shop No.5, Mont Vert II C Building, Sus - Pashan Rd, near रिलायंस फ्रेश, Pashan, Pune, Maharashtra 411021",Pashan,18.5447651,73.7805288,ChIJYRo6Sui-wjsRfhgjWTA5SFk,https://www.google.com/maps/place/?q=place_id:ChIJYRo6Sui-wjsRfhgjWTA5SFk,part_328,2026-09-20 20:25:26
Shivay Graphics,Flex and Banner Printing,Print shop,"Print shop, Digital printing service, Graphic designer",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 84858 32282,https://shivaygraphics.in/,4.5,,"3, Jondhali Baug Rd, opp. kanifnath rasvanti gruh, Dhobi Ali, Charai, Thane West, Thane, Maharashtra 400601","Dhobi Ali, Charai, Thane West",19.198706899999998,72.9727213,ChIJ6f__rzy55zsRm3Eph-X0uFk,https://www.google.com/maps/place/?q=place_id:ChIJ6f__rzy55zsRm3Eph-X0uFk,part_328,2026-09-20 20:25:26
Prem Digitals,Flex and Banner Printing,Print shop,"Print shop, Acrylic Dealer, Digital printing service, Sign shop",734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 97002 77740,https://www.premdigitalsignage.com/,4.9,,"1-112/3/5/A, 1st floor, beside Testy king bekers and appolo pharmacy Opposite Sai teja west side liquors wine shop Balaji Nagar, kalapuram basti Miyapur cross (x) road signal Bollaram road, and, Miyapur Rd, Hyderabad, Telangana 500049",Kalapuram Basti,17.497435799999998,78.361555,ChIJawpYKluTyzsR5qznEqf-zAE,https://www.google.com/maps/place/?q=place_id:ChIJawpYKluTyzsR5qznEqf-zAE,part_328,2026-09-20 20:25:26
colourprintz,Flex and Banner Printing,Digital printing service,Digital printing service,734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 73965 10372,N/A,4.7,,"11-5-432/A, opp. to KRISHNA CHILDREN HOSPITAL, Hari Nagar, Red Hills, Lakdikapul, Hyderabad, Telangana 500004","Hari Nagar, Red Hills, Lakdikapul",17.4021846,78.46331359999999,ChIJPed-BSmXyzsRnGnexN88I-w,https://www.google.com/maps/place/?q=place_id:ChIJPed-BSmXyzsRnGnexN88I-w,part_328,2026-09-20 20:25:26
PrintX Digital - acrylic signboard & composite panel work,Flex and Banner Printing,Sign shop,Sign shop,734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO",+91 90299 98540,https://printxdigital.co.in/,5.0,,"Shop no. 8, 9, flamingo CHS, PRANJEE GARDEN CITY, Kalyan - Badlapur Rd, near SBI bank, Sarvodaynagar, Katrap, Karjat, Badlapur, Maharashtra 421503","Sarvodaynagar, Katrap",19.1719564,73.23030969999999,ChIJaZrW1Tnt5zsR9vjL73JP1WY,https://www.google.com/maps/place/?q=place_id:ChIJaZrW1Tnt5zsR9vjL73JP1WY,part_328,2026-09-20 20:25:26
