business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Decor Panels India,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Adhesives & Glue Supplier, Lumber store, Wood supplier",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,https://decorpanelsindia.in/,4.7,,"Rajendera Market, Sikanderpur, Mehrauli-Gurgaon Rd, DLF Phase 2, Gurugram, Haryana 122002","DLF Phase 2, Sector 24",28.483168,77.097416,ChIJVVVVVVUWDTkRPKVkre-V1H8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVVUWDTkRPKVkre-V1H8,part_322,2026-09-20 20:33:27
Kuldeep Plywood & Hardware,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Hardware store, Lumber store",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 86981 57431,N/A,3.6,,"Katepuram Phase 2 Block-K3, Shirode Rd, Phase 2, Kate Puram, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061","Phase 2, Kate Puram, Pimple Gurav",18.585517199999998,73.8163069,ChIJSWNbuMe4wjsRXBTOaYlcmK4,https://www.google.com/maps/place/?q=place_id:ChIJSWNbuMe4wjsRXBTOaYlcmK4,part_322,2026-09-20 20:33:27
Haryana timber store,Plywood and Timber Merchant,Lumber store,Lumber store,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98114 03878,N/A,4.1,,"Basai Rd, Bada Bazar, Prem Nagar, Sector 11, Gurugram, Haryana 122001","Bada Bazar, Prem Nagar, Sector 11",28.458425899999998,77.02561519999999,ChIJOVhLaXIZDTkRvS-uBH7_iiY,https://www.google.com/maps/place/?q=place_id:ChIJOVhLaXIZDTkRvS-uBH7_iiY,part_322,2026-09-20 20:33:27
Global Ply,Plywood and Timber Merchant,Lumber store,Lumber store,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,N/A,,,"Shop No.3,4 G/P82, Mangal Corner, Near Rotary Club, Chinchwad, Telco Road, Pune, Maharashtra 411019","Sambhajinagar, Chinchwad",18.659845,73.795799,ChIJlQx6Jyu4wjsRS1XmX8GaBd0,https://www.google.com/maps/place/?q=place_id:ChIJlQx6Jyu4wjsRS1XmX8GaBd0,part_322,2026-09-20 20:33:27
Shibpur plywood Home,Plywood and Timber Merchant,Lumber store,Lumber store,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98830 76439,N/A,4.9,,"6 Molla Para, Kajipara Shibpur,Howrah - 711102, Howrah, West Bengal 711102",Shibpur,22.564551899999998,88.3205744,ChIJi6SXJSt4AjoR0MouBDY9rPY,https://www.google.com/maps/place/?q=place_id:ChIJi6SXJSt4AjoR0MouBDY9rPY,part_322,2026-09-20 20:33:30
WALJEE PATEL,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 93313 17384,N/A,5.0,,"532, GT Rd, south, Shibpur, Howrah, West Bengal 711101","south, Shibpur",22.578472299999998,88.3310699,ChIJvc6JdFJ3AjoR-9KHaphoDj4,https://www.google.com/maps/place/?q=place_id:ChIJvc6JdFJ3AjoR-9KHaphoDj4,part_322,2026-09-20 20:33:30
SRIJAN PLYWOOD,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Hardware store, Home improvement store, Interior Decorator, Paint store",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 89727 56606,N/A,4.9,,"Bagnan Amta Rd, Amta, West Bengal 711401",721420,22.5660839,88.011427,ChIJscmAxvKdAjoRyMHy0FW5D0I,https://www.google.com/maps/place/?q=place_id:ChIJscmAxvKdAjoRyMHy0FW5D0I,part_322,2026-09-20 20:33:30
M. M. Patel & Co.,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98300 39622,N/A,4.8,,"104, Salkia School Rd, Babudanga, Golabari, Bandhaghat, Salkia, Howrah, West Bengal 711106","Babudanga, Golabari, Bandhaghat, Salkia",22.5980779,88.34674199999999,ChIJf6z-FcN3AjoR7sofQOHBmX0,https://www.google.com/maps/place/?q=place_id:ChIJf6z-FcN3AjoR7sofQOHBmX0,part_322,2026-09-20 20:33:30
LOKNATH PLYWOOD CENTRE,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 91639 31319,N/A,4.8,,"Chatterjeehat Bazar ( Ganguly gate, 700/1, Sarat Chatterjee Rd, Chatterjihat Bazar, Naora, Shibpur, Howrah, West Bengal 711104","Chatterjihat Bazar, Naora, Shibpur",22.5717043,88.30964589999999,ChIJ_UhLGTZ5AjoRL_WtHzOgLz4,https://www.google.com/maps/place/?q=place_id:ChIJ_UhLGTZ5AjoRL_WtHzOgLz4,part_322,2026-09-20 20:33:30
Namami Plyboard Pvt Ltd,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 98312 75519,http://www.namamiplyboard.in/,4.3,,"42, Andul Rd, near Hanskhali Pool, Harekrishna Nagar, Mourigram, Howrah, West Bengal 711109","Harekrishna Nagar, Mourigram",22.5662327,88.27825279999999,ChIJXdWAZP54AjoRxqJUFjsXmy4,https://www.google.com/maps/place/?q=place_id:ChIJXdWAZP54AjoRxqJUFjsXmy4,part_322,2026-09-20 20:33:30
