business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Debasish Auto,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,3.5,11.0,"Egra- Pataspur- Temathani- Balichak- Debra Rd, Siyara, West Bengal 721467",721467,22.125429999999998,87.5054083,ChIJSWo3Nbw1HToRK3gXBFZNvXs,https://www.google.com/maps/place/?q=place_id:ChIJSWo3Nbw1HToRK3gXBFZNvXs,part_323,2026-09-20 20:25:30
Milan Garrage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"5GCM+C2R, Chandkuri Batitaki, West Bengal 721166",721467,22.1709107,87.5315248,ChIJs5_bLgA1HToRYmQypJDAgoU,https://www.google.com/maps/place/?q=place_id:ChIJs5_bLgA1HToRYmQypJDAgoU,part_323,2026-09-20 20:25:30
MAA KALI AUTO CENTRE . REPAIRING AND SERVICEING.,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"Madan Mohan chack to Chandkuri Bypass, Tutranga, West Bengal 721166",721467,22.2092307,87.513036,ChIJ2_TAPwA1HToRIanMQHQAQw4,https://www.google.com/maps/place/?q=place_id:ChIJ2_TAPwA1HToRIanMQHQAQw4,part_323,2026-09-20 20:25:30
সোহম অটোমোবাইল,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"Uttar Eral, West Bengal 721144",721467,22.1331198,87.59892839999999,ChIJh4gjewDLAjoRq8ElNrz3PZY,https://www.google.com/maps/place/?q=place_id:ChIJh4gjewDLAjoRq8ElNrz3PZY,part_323,2026-09-20 20:25:30
Nayak Bike Point,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",+91 97322 88730,N/A,,,"Manoharpur, West, Midnapore, West Bengal 721144",721467,22.139656799999997,87.6147809,ChIJ28C9sw_LAjoR33T3CRHCzZ4,https://www.google.com/maps/place/?q=place_id:ChIJ28C9sw_LAjoR33T3CRHCzZ4,part_323,2026-09-20 20:25:30
Maa Kali Auto service,Two Wheeler Repair and Mechanic,Auto repair shop,"Auto repair shop, Motor scooter repair shop",721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",+91 80010 31282,N/A,4.7,3.0,"Patashpur, To, Temathani, Gokulpur, West Bengal 721439",Temathani,22.0725198,87.5073702,ChIJT2AytHgzHToRqwF1ta3MIYE,https://www.google.com/maps/place/?q=place_id:ChIJT2AytHgzHToRqwF1ta3MIYE,part_323,2026-09-20 20:25:30
RAJGURU GRILL WORKSHOP,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"3F4R+53H, Tapinda, West Bengal 721439",721467,22.0554301,87.49022149999999,ChIJvx2rZgAzHToR9n1mWeuzqgg,https://www.google.com/maps/place/?q=place_id:ChIJvx2rZgAzHToR9n1mWeuzqgg,part_323,2026-09-20 20:25:30
RAJGURU GRILL WORKSHOP,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"3F4R+53M, Tapinda, West Bengal 721439",721467,22.055467999999998,87.49018629999999,ChIJ4dA9CAAzHToRJ1yj6MchUkU,https://www.google.com/maps/place/?q=place_id:ChIJ4dA9CAAzHToRJ1yj6MchUkU,part_323,2026-09-20 20:25:30
অমিত বাইক/ অটো রিপেয়ার সেন্টার,Two Wheeler Repair and Mechanic,Motor scooter repair shop,Motor scooter repair shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",+91 78640 99893,N/A,2.5,2.0,"Uthar mothura, Andulia, Uttar Mathura, West Bengal 721166",721467,22.2184028,87.56800109999999,ChIJGYViq_nLAjoR9dOfM3M9jvQ,https://www.google.com/maps/place/?q=place_id:ChIJGYViq_nLAjoR9dOfM3M9jvQ,part_323,2026-09-20 20:25:30
রাউল অটো সেন্টার,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,721467,West Bengal Circle,South Bengal Region,Contai Division,"Dasagram SO, Barachara BO, Bonai BO",N/A,N/A,,,"6H79+46R, Andulia, West Bengal 721166",721467,22.2128744,87.5680106,ChIJsQAMJgDLAjoRhHNpZ6J3kKo,https://www.google.com/maps/place/?q=place_id:ChIJsQAMJgDLAjoRhHNpZ6J3kKo,part_323,2026-09-20 20:25:30
