business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Electric Service,Electrician,Electronics store,Electronics store,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 73843 42100,N/A,5.0,3.0,"CHJ9+RJP, Debra Tabagaria Rd, Panchgeria, West Bengal 721156",721126,22.4320885,87.5690898,ChIJKfCzf22tAjoRD954hyuW1-c,https://www.google.com/maps/place/?q=place_id:ChIJKfCzf22tAjoRD954hyuW1-c,part_321,2026-09-20 20:24:55
GHOSH ELECTRIC,Electrician,Electrical repair shop,Electrical repair shop,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 6295 752 235,N/A,4.5,2.0,"Midnapore To MuktiKendra Bazar Brahmangerya, West, Muktikendra Bazar, Pakuria, Midnapore, West Bengal 721150",Muktikendra Bazar,22.4670208,87.50187009999999,ChIJ5aHIB0FTHToR_bg2VGO-3PM,https://www.google.com/maps/place/?q=place_id:ChIJ5aHIB0FTHToR_bg2VGO-3PM,part_321,2026-09-20 20:24:55
Maa Chandi Electric,Electrician,Electronics store,Electronics store,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 80019 90491,N/A,4.8,6.0,"Rajpura, West Bengal 721126",721126,22.4389973,87.5013862,ChIJR4LBwvVSHToRhlIC5yBDGUU,https://www.google.com/maps/place/?q=place_id:ChIJR4LBwvVSHToRhlIC5yBDGUU,part_321,2026-09-20 20:24:55
S.k.dey electrician,Electrician,Home goods store,Home goods store,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",N/A,N/A,,,"9FMH+PH5, Rampur, West Bengal 721301",721126,22.385037,87.481067,ChIJZROhfwBNHToRMOHDiSGuF9k,https://www.google.com/maps/place/?q=place_id:ChIJZROhfwBNHToRMOHDiSGuF9k,part_321,2026-09-20 20:24:55
Nimai Das,Electrician,Transportation service,"Transportation service, Electrical installation service",721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 96350 09672,N/A,,,"Madhyam Satkona, West Bengal 721126",721126,22.40249,87.5916917,ChIJeTgIUwCzAjoRto129vWKC0M,https://www.google.com/maps/place/?q=place_id:ChIJeTgIUwCzAjoRto129vWKC0M,part_321,2026-09-20 20:24:55
Samanta electric,Electrician,Electrical appliance wholesaler,Electrical appliance wholesaler,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 78729 57572,N/A,4.3,3.0,"Tabageria road, near the PNB bank, Debra, Satyapur, West Bengal 721156",721126,22.4640845,87.5759915,ChIJQ_6Xz3utAjoRRfVG6a9R1jU,https://www.google.com/maps/place/?q=place_id:ChIJQ_6Xz3utAjoRRfVG6a9R1jU,part_321,2026-09-20 20:24:55
SUMAN ELECTRONICS,Electrician,Electronics store,Electronics store,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",+91 98001 29823,N/A,4.6,5.0,"Debra, West Bengal 721126",721126,22.393561599999998,87.560429,ChIJ9zFsbZayAjoRYH55Bpd9kO8,https://www.google.com/maps/place/?q=place_id:ChIJ9zFsbZayAjoRYH55Bpd9kO8,part_321,2026-09-20 20:24:55
De Home,Electrician,Electrician,Electrician,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",N/A,N/A,,,"9FVH+2VV, Meudichak, Sultanpur, West Bengal 721149",721126,22.392620299999997,87.4796641,ChIJA4skFABNHToR2yl-V1IorHc,https://www.google.com/maps/place/?q=place_id:ChIJA4skFABNHToR2yl-V1IorHc,part_321,2026-09-20 20:24:55
Ac fridge repair centre,Electrician,Electrical installation service,Electrical installation service,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",N/A,N/A,,,"9HR6+F9C, Kasba - Egra Rd, Debra, West Bengal 721126",721126,22.3911871,87.560897,ChIJcSlnMWazAjoRj_fwngEZfGg,https://www.google.com/maps/place/?q=place_id:ChIJcSlnMWazAjoRj_fwngEZfGg,part_321,2026-09-20 20:24:55
Debra assel farm(alishaarh),Electrician,Electrician,Electrician,721126,West Bengal Circle,South Bengal Region,Midnapore Division,"Debra Bazar SO, Arjuni BO, Chaklahana BO",N/A,N/A,,,"9HM4+PQP, Alishagar, Debra, West Bengal 721126",721126,22.384335099999998,87.5569423,ChIJzxeOFM-zAjoRtheOSD7--D4,https://www.google.com/maps/place/?q=place_id:ChIJzxeOFM-zAjoRtheOSD7--D4,part_321,2026-09-20 20:24:55
