business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A G & Associate,Business and Audit Services,Tax consultant,Tax consultant,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 73845 92952,N/A,5.0,15.0,"Manasa para, near Durga mandir, Lenin Sarani, Katwa, West Bengal 713130",Lenin Sarani,23.6509014,88.1320178,ChIJlfeEcBI-aq0RQocLi0n7hRY,https://www.google.com/maps/place/?q=place_id:ChIJlfeEcBI-aq0RQocLi0n7hRY,part_326,2026-09-20 20:24:28
Absolute Accounting Solution,Business and Audit Services,Accounting firm,Accounting firm,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 82508 00319,N/A,5.0,3.0,"Secon Ln, Nabapally, M . K . Plot, Benachity, Durgapur, West Bengal 713213","Nabapally, M . K . Plot, Benachity",23.5588932,87.2752747,ChIJ8-2Pc3Zt9zkR1iqmTpatGVI,https://www.google.com/maps/place/?q=place_id:ChIJ8-2Pc3Zt9zkR1iqmTpatGVI,part_326,2026-09-20 20:24:28
EASY Business Associates Firms,Business and Audit Services,Financial audit,"Financial audit, Service establishment",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",01711-383693,N/A,,,"EASY Business Associates Firms, 731215, India",731215,23.506657,90.3443647,ChIJx4jHT1TFCw0RdkXhrAlO4B4,https://www.google.com/maps/place/?q=place_id:ChIJx4jHT1TFCw0RdkXhrAlO4B4,part_326,2026-09-20 20:24:28
EASY Business Associates Firms,Business and Audit Services,Financial audit,"Financial audit, Service establishment",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",01711-383693,N/A,,,"EASY Business Associates Firms, 731215, India",731215,24.007711099999998,90.2278534,ChIJZ1BcZtpX8IoR3zYXlC3xPWQ,https://www.google.com/maps/place/?q=place_id:ChIJZ1BcZtpX8IoR3zYXlC3xPWQ,part_326,2026-09-20 20:24:28
DEB CONSULTANCY SERVICE / Best Taxation Services,Business and Audit Services,Tax consultant,"Tax consultant, Accounting firm, Financial audit, Tax collector's office",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 89619 70946,N/A,4.6,13.0,"beside Indane kerosin oil Depo, opposite Sabita Jewellers, NAHABAT KHANA, Janai, Baksha, West Bengal 712304",NAHABAT KHANA,22.720127899999998,88.24375409999999,ChIJFc-HbTWF-DkRT_1XrbbRjIk,https://www.google.com/maps/place/?q=place_id:ChIJFc-HbTWF-DkRT_1XrbbRjIk,part_326,2026-09-20 20:24:28
D. Poddar & Associates,Business and Audit Services,Tax consultant,"Tax consultant, Tax preparation service",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 70014 61037,N/A,5.0,450.0,"near Bank of India, MADHUBAN, KALITALA, Kalna, Rameswarpur P, West Bengal 713409","MADHUBAN, KALITALA",23.2168353,88.35445419999999,ChIJc9Yle-zl-DkR3P7Ia7PyLvs,https://www.google.com/maps/place/?q=place_id:ChIJc9Yle-zl-DkR3P7Ia7PyLvs,part_326,2026-09-20 20:24:28
Business Support (Advocate & Tax Consultant),Business and Audit Services,Tax preparation service,Tax preparation service,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 89673 26616,N/A,,,"Hantal More, opposite Mahaprabhu Mistanna Bhanser, Bargachia, West Bengal 711404",731215,22.6631879,88.1375269,ChIJL5ILkD9_-DkRYLfqG_jQUQA,https://www.google.com/maps/place/?q=place_id:ChIJL5ILkD9_-DkRYLfqG_jQUQA,part_326,2026-09-20 20:24:28
TAX ASSOCIATE,Business and Audit Services,Tax preparation service,"Tax preparation service, Service establishment",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 99079 70349,https://www.taxassociate.org/,,,"TAX ASSOCIATE, 731215, India",731215,22.5354274,88.3473528,ChIJaX2Ga1cyAiMRfEcFkn5CnHY,https://www.google.com/maps/place/?q=place_id:ChIJaX2Ga1cyAiMRfEcFkn5CnHY,part_326,2026-09-20 20:24:28
"Best Business Advisor and Self- Development Consultant in Kolkata, India. - SK ABDUL HANNAN",Business and Audit Services,Law firm,Law firm,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",N/A,N/A,,,"W6P5+X95 BANGAL POTA, Puinan, Banshdarun, West Bengal 712305",731215,22.9373884,88.20849179999999,ChIJnR85de-L-DkRa0q9LflWCZ0,https://www.google.com/maps/place/?q=place_id:ChIJnR85de-L-DkRa0q9LflWCZ0,part_326,2026-09-20 20:24:28
Sujay Tax Consultancy And Business Group,Business and Audit Services,Consultant,Consultant,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",N/A,N/A,,,"near Andi rice mill, Andi, West Bengal 742168",731215,23.990710999999997,87.9062285,ChIJ7TWfVZCN-TkRH2r486Qjlqw,https://www.google.com/maps/place/?q=place_id:ChIJ7TWfVZCN-TkRH2r486Qjlqw,part_326,2026-09-20 20:24:28
Dey & Associates,Business and Audit Services,Tax consultant,Tax consultant,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 98322 93272,N/A,5.0,3.0,"Idilpur, Fakirpur, West Bengal 713102",731215,23.2312905,87.8320392,ChIJJ8wxzQE3-DkR-BqzyTduL0A,https://www.google.com/maps/place/?q=place_id:ChIJJ8wxzQE3-DkR-BqzyTduL0A,part_326,2026-09-20 20:24:29
N VERMA & ASSOCIATES,Business and Audit Services,Certified public accountant,Certified public accountant,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 70019 46046,N/A,5.0,1.0,"BABA COMPLEX, opp. EKTA MEDICAL, Kulti, West Bengal 713343",731215,23.731952399999997,86.8339366,ChIJ_ciJtW_f9jkR_jjzWih-VcA,https://www.google.com/maps/place/?q=place_id:ChIJ_ciJtW_f9jkR_jjzWih-VcA,part_326,2026-09-20 20:24:29
"Prabir koner, Tax Consultant , ব্যাবসায়িক হিসাব ও ইনকাম ট্যাক্স ফাইল এবং নতুন ফার্ম বা সোসাইটি",Business and Audit Services,Accounting firm,Accounting firm,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 98307 79721,N/A,4.7,3.0,"Majher Rasta, Sankomore, Buroshibtala, Dharampur, Chinsurah, West Bengal 712101","Sankomore, Buroshibtala, Dharampur",22.8769162,88.38794899999999,ChIJ6Yrx4ZWR-DkRRV53ZXKkerE,https://www.google.com/maps/place/?q=place_id:ChIJ6Yrx4ZWR-DkRRV53ZXKkerE,part_326,2026-09-20 20:24:29
Business Accounting & Consultancy Center,Business and Audit Services,Accounting firm,"Accounting firm, Service establishment",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",01521-426350,N/A,,,"Business Accounting & Consultancy Center, 731215, India",731215,23.506657,90.3443647,ChIJT01UDln5DIwRkg3YmRl32jo,https://www.google.com/maps/place/?q=place_id:ChIJT01UDln5DIwRkg3YmRl32jo,part_326,2026-09-20 20:24:29
