business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Reedial balloon decoration,Balloon Decorator,Event planner,"Event planner, Balloon artist",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 70238 91043,https://reedial.in/pune-ballon-decorators-maharashtra,4.7,,"Shop No.3, Shivneri Colony, Adarsh Nagar, Mukai Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101","Shivneri Colony, Adarsh Nagar, Mukai Nagar, Ravet",18.66472,73.735233,ChIJY3AhWYzDwjsRYDZzpLfCdKQ,https://www.google.com/maps/place/?q=place_id:ChIJY3AhWYzDwjsRYDZzpLfCdKQ,part_327,2026-09-20 20:27:19
PartyBing Balloon Decoration,Balloon Decorator,Balloon artist,Balloon artist,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 84323 76040,https://www.partybing.in/,4.9,,"Shop No. 4, Ground Floor, Pristic Arcade, behind Phoenix Mall Road, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Pune, Maharashtra 411057","Shankar Kalat Nagar, Wakad",18.5977972,73.7581773,ChIJxyWXCvK5wjsRZ-UB-LkXmlQ,https://www.google.com/maps/place/?q=place_id:ChIJxyWXCvK5wjsRZ-UB-LkXmlQ,part_327,2026-09-20 20:27:19
Bhavani Decoration,Balloon Decorator,Balloon store,Balloon store,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 84311 78203,https://bhavanidecorations.netlify.app/,5.0,,"11, Riches Garden Main Rd, near Koshy's Hospital, Raghavendra Nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Raghavendra Nagar, Ramamurthy Nagar",13.0207597,77.6768981,ChIJq6tb_lARrjsRQy0wi00rLLw,https://www.google.com/maps/place/?q=place_id:ChIJq6tb_lARrjsRQy0wi00rLLw,part_327,2026-09-20 20:27:19
Balloon Decoration Chandigarh,Balloon Decorator,Party planner,Party planner,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 88470 49618,https://balloon-decoration-attawa-chandigarh.grexa.site/,4.9,,"House number 121, 42B, Attawa, Chandigarh, 160036","42B, Attawa",30.7265612,76.7494768,ChIJsUPasLwyiIwRwpCvyhGLxn0,https://www.google.com/maps/place/?q=place_id:ChIJsUPasLwyiIwRwpCvyhGLxn0,part_327,2026-09-20 20:27:19
Balloon decoration chandigarh,Balloon Decorator,Balloon artist,"Balloon artist, Balloon store, Event planner, Party equipment rental service, Party planner, Party store",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 84236 27738,https://balloon-decoration-260444.grexa.site/,5.0,,"Sector 35A, 35A, Sector 35, Chandigarh, 160022","Sector 35A, 35A, Sector 35",30.7293843,76.7584548,ChIJ2_Qn_5Y6wmYRStVxklWvmxk,https://www.google.com/maps/place/?q=place_id:ChIJ2_Qn_5Y6wmYRStVxklWvmxk,part_327,2026-09-20 20:27:19
New balloon decoration,Balloon Decorator,Balloon artist,Balloon artist,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,N/A,https://www.instagram.com/its_new_balloon_decoration?igsh=azdkZGx1cXhrOWRs,5.0,,"359, Sector 35A, 35A, Sector 35, Chandigarh, 160022","Sector 35A, 35A, Sector 35",30.728648999999997,76.7582922,ChIJaY85Ss3tDzkRcXJH0a4aAuw,https://www.google.com/maps/place/?q=place_id:ChIJaY85Ss3tDzkRcXJH0a4aAuw,part_327,2026-09-20 20:27:19
Reedial Balloon Decoration,Balloon Decorator,Balloon artist,"Balloon artist, Event management company",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 93521 67080,https://www.reedialballoondecoration.co.in/,5.0,,"Shop No. 3, 3929/35, Bodha nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","Bodha nagar, Pimpri Colony",18.6245753,73.7994777,ChIJC3m44aK5wjsRwYoPBqcANMU,https://www.google.com/maps/place/?q=place_id:ChIJC3m44aK5wjsRwYoPBqcANMU,part_327,2026-09-20 20:27:20
Solanki Balloon decoration Indore,Balloon Decorator,Balloon artist,"Balloon artist, Balloon store, Event planner, Event technology service, Event venue",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 70499 93333,https://www.instagram.com/solanki_balloon_decoration?igsh=NTkxZnkwbzg5NDdp,4.9,86.0,"121-c suryadev nagar, Hava Bangla Rd, bangla, Indore, Madhya Pradesh 452009",bangla,22.6821223,75.8258105,ChIJ3yD_PnT9YjkRhY9RYwKuxvU,https://www.google.com/maps/place/?q=place_id:ChIJ3yD_PnT9YjkRhY9RYwKuxvU,part_327,2026-09-20 20:27:21
Balloon Decoration,Balloon Decorator,Event planner,Event planner,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 98910 57239,N/A,5.0,26.0,"B-20, Market, near Sagar Ratna Restaurant, Block C, Malviya Nagar, New Delhi, Delhi 110017","Block C, Malviya Nagar",28.534201699999997,77.1945654,ChIJ3xU52brjDDkR9FDEsMhjZhg,https://www.google.com/maps/place/?q=place_id:ChIJ3xU52brjDDkR9FDEsMhjZhg,part_327,2026-09-20 20:27:21
Balloon Decoration indore,Balloon Decorator,Balloon artist,Balloon artist,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 98067 31634,N/A,4.8,65.0,"67, Swami Vivekanand Nagar, Indore, Madhya Pradesh 452001",Swami Vivekanand Nagar,22.721696899999998,75.9038688,ChIJIXj4rjTjYjkR3GLtXVAzCgA,https://www.google.com/maps/place/?q=place_id:ChIJIXj4rjTjYjkR3GLtXVAzCgA,part_327,2026-09-20 20:27:21
