business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Steel Enterprise,Industrial Equipment Suppliers,Welding supply store,"Welding supply store, Industrial gas supplier, Safety equipment supplier",722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 94340 15844,N/A,4.5,,"Grand Trunk Rd, Panagarh Bazar, Panagarh, West Bengal 713148",Panagarh Bazar,23.447993,87.4581936,ChIJ49jcW1J59zkRsG0sOSDepUc,https://www.google.com/maps/place/?q=place_id:ChIJ49jcW1J59zkRsG0sOSDepUc,part_325,2026-09-20 20:22:51
FEST ENGINEERING WORKS (DRY ICE),Industrial Equipment Suppliers,Dry ice supplier,"Dry ice supplier, Event planner",722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 70630 30038,N/A,5.0,,"DURGAPUR, Panagarh Bazar, PANAGARH ASANSOL, DURGAPUR, West Bengal 713148",Panagarh Bazar,23.446821,87.4575596,ChIJW0VOVYJ_9zkRbZaxYqpr148,https://www.google.com/maps/place/?q=place_id:ChIJW0VOVYJ_9zkRbZaxYqpr148,part_325,2026-09-20 20:22:51
Haldar Enterprise,Industrial Equipment Suppliers,Hardware store,"Hardware store, Safety equipment supplier",722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 98516 67369,N/A,5.0,,"Punjab National Bank ATM, near Old GT Road, Budbud, West Bengal 713403",722207,23.4010464,87.5497784,ChIJkw9vokLV-TkR_fkAZjNWAbc,https://www.google.com/maps/place/?q=place_id:ChIJkw9vokLV-TkR_fkAZjNWAbc,part_325,2026-09-20 20:22:51
Cardan India,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 343 252 4728,http://www.cardanindia.com/,4.0,,"CFV7+MC4, National Highway-2, Panagarh Bazar, Panagarh, Kanksa, West Bengal 713148",Panagarh Bazar,23.442448,87.4672973,ChIJ8y7JqLF-9zkRPyue9PoIKKo,https://www.google.com/maps/place/?q=place_id:ChIJ8y7JqLF-9zkRPyue9PoIKKo,part_325,2026-09-20 20:22:51
Goswami Traders,Industrial Equipment Suppliers,Plumbing supply store,Plumbing supply store,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 97977 50499,N/A,4.3,,"Goswami Traders, Joykrishnapur, Bishnupur, West Bengal 722122",722207,23.1263842,87.319113,ChIJT4u2v3GR9zkRCWcgVOAIgI8,https://www.google.com/maps/place/?q=place_id:ChIJT4u2v3GR9zkRCWcgVOAIgI8,part_325,2026-09-20 20:22:51
Rabindra Enterprise,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",N/A,N/A,5.0,,"Rondia more karkhana, Panagarh Bazar, Panagarh, West Bengal 713148",Panagarh Bazar,23.442755,87.46438959999999,ChIJBz2rrzN_9zkRt-URiXrVz2s,https://www.google.com/maps/place/?q=place_id:ChIJBz2rrzN_9zkRt-URiXrVz2s,part_325,2026-09-20 20:22:51
I E Enterprise,Industrial Equipment Suppliers,Pallet supplier,"Pallet supplier, Packaging supply store, Wood supplier",722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 70037 54845,N/A,5.0,,"panagarh, burdwan, Durgapur, West Bengal 713148",722207,23.4404309,87.4500604,ChIJd0DoTWJ59zkRN3MXkPn98sU,https://www.google.com/maps/place/?q=place_id:ChIJd0DoTWJ59zkRN3MXkPn98sU,part_325,2026-09-20 20:22:51
ELLENBARRIE INDUSTRIAL GASES LTD,Industrial Equipment Suppliers,Oxygen equipment supplier,Oxygen equipment supplier,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",N/A,https://ellenbarrie.com/,4.6,,"Birudiha, West Bengal 713148",722207,23.469576699999998,87.415526,ChIJiXqeUsd79zkRRxJfl_SPPTQ,https://www.google.com/maps/place/?q=place_id:ChIJiXqeUsd79zkRRxJfl_SPPTQ,part_325,2026-09-20 20:22:51
Dhandhania Enterprise,Industrial Equipment Suppliers,Welding supply store,Welding supply store,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",+91 93335 40009,N/A,3.5,,"Panagarh Bazar, Natunpara, Panagarh, Kanksa, West Bengal 713148","Panagarh Bazar, Natunpara",23.4452388,87.46058959999999,ChIJ7wKMVa1-9zkRXqCZFgjU4zk,https://www.google.com/maps/place/?q=place_id:ChIJ7wKMVa1-9zkRXqCZFgjU4zk,part_325,2026-09-20 20:22:51
মা দুর্গা ইঞ্জিনিয়ারিং ওয়ার্কস,Industrial Equipment Suppliers,Welding supply store,Welding supply store,722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO",N/A,N/A,5.0,1.0,"7FW4+37W, Sonadwipa Rd, Dariapur, Sona Dwipa, West Bengal 722207",722207,23.2952357,87.4557128,ChIJkSEZegCD9zkRJkNrwQaiuxE,https://www.google.com/maps/place/?q=place_id:ChIJkSEZegCD9zkRJkNrwQaiuxE,part_325,2026-09-20 20:22:51
