business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MakeupMuseRimpa,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 98002 86889,https://www.instagram.com/makeupmuserimpa?igsh=OHB2bncxcWp3bWlw,4.9,,"ward no-1, purbapally munsefdnga, Raghunathpur, Nanduara, West Bengal 723133",723121,23.522894899999997,86.67135499999999,ChIJQwdA5vjx9jkRdmWTZU-mlkA,https://www.google.com/maps/place/?q=place_id:ChIJQwdA5vjx9jkRdmWTZU-mlkA,part_325,2026-09-20 20:27:20
Seema' s Makeover,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 62996 94014,N/A,5.0,,"36/2-1, Taldanga Housing Colony, Chirkunda, Jharkhand 828202",Taldanga Housing Colony,23.7421582,86.79040359999999,ChIJHYt3KEzd9jkR4zj_ew2matk,https://www.google.com/maps/place/?q=place_id:ChIJHYt3KEzd9jkR4zj_ew2matk,part_325,2026-09-20 20:27:20
Makeup artist Sonalika karwa,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 82937 42707,N/A,5.0,,"Upper baniasol, near Axis Bank, Adra, West Bengal 723121",723121,23.5041448,86.6728163,ChIJVV2zN87x9jkRsCvIdU9aSoU,https://www.google.com/maps/place/?q=place_id:ChIJVV2zN87x9jkRsCvIdU9aSoU,part_325,2026-09-20 20:27:20
Barnali'z makeover A professional Makeup artist,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 70016 78814,N/A,5.0,,"Kulti, West Bengal 713324",723121,23.7300051,86.8400152,ChIJI2ApZkPh9jkRQ_5FtRqLaKI,https://www.google.com/maps/place/?q=place_id:ChIJI2ApZkPh9jkRQ_5FtRqLaKI,part_325,2026-09-20 20:27:20
Moni makeover,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 97498 49696,N/A,5.0,,"Kamlasthan Rd, near Mansa Mandir, Adra, West Bengal 723121",723121,23.4987921,86.6915215,ChIJJYJX8dHx9jkRsdVFuxsbCa8,https://www.google.com/maps/place/?q=place_id:ChIJJYJX8dHx9jkRsdVFuxsbCa8,part_325,2026-09-20 20:27:20
Sunidhi Makeover & Academy,Bridal Makeup Artist,Make-up artist,"Make-up artist, Health and beauty shop, Mehndi Designer, Nail salon",723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 62056 83994,https://sunidhimakeup.netlify.app/,5.0,,"Taldanga housing colony chapra dangal opposite Akshat shiv mandir oria dhora, Jharkhand 828202",723121,23.741632,86.7860149,ChIJN4jaQf_d9jkRCnJsQyFU-PY,https://www.google.com/maps/place/?q=place_id:ChIJN4jaQf_d9jkRCnJsQyFU-PY,part_325,2026-09-20 20:27:20
"KIRAN BEAUTY ACADEMY & BRIDAL MAKEUP STUDEO ,SALON ,BARAKAR | ASANSOL",Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 79083 31400,N/A,4.9,,"NILKANTH PLAZA, Station Rd, near Auto Stand, Barakar, West Bengal 713324",723121,23.735156,86.81418389999999,ChIJUV1H3Ezd9jkRxreGpM6dMlg,https://www.google.com/maps/place/?q=place_id:ChIJUV1H3Ezd9jkRxreGpM6dMlg,part_325,2026-09-20 20:27:20
Tasmi Makeover,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",N/A,N/A,5.0,,"Kumar Dhubi, H-67, Darmiyani Mohalla, Siuliban, Chirkunda, Jharkhand 828203",Darmiyani Mohalla,23.7504214,86.7822209,ChIJHbYfgwLd9jkR-MmEfxMgxiA,https://www.google.com/maps/place/?q=place_id:ChIJHbYfgwLd9jkR-MmEfxMgxiA,part_325,2026-09-20 20:27:20
Neha makeovers,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 99316 25119,https://www.instagram.com/nehamakeover0723?igsh=MWo4MW5tdnN0eDh2Mw==,5.0,,"Kumar Dhubi, panch Mandir, 18,sarsapahari near Mataram foundry, Jharkhand 828202",723121,23.7453087,86.7941235,ChIJ8WNu66_d9jkRWudqY6s-agM,https://www.google.com/maps/place/?q=place_id:ChIJ8WNu66_d9jkRWudqY6s-agM,part_325,2026-09-20 20:27:20
Makeup artist adra,Bridal Makeup Artist,Make-up artist,Make-up artist,723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO",+91 86375 25242,N/A,,,"T/144/A, near North settlement chota hospital, Adra, West Bengal 723121",723121,23.4986949,86.68216939999999,ChIJ6Xzkmjnx9jkRW15ToQ7aMSo,https://www.google.com/maps/place/?q=place_id:ChIJ6Xzkmjnx9jkRW15ToQ7aMSo,part_325,2026-09-20 20:27:20
