business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JAYANTI BASTRALAY,Mens Wear Showroom,Men's clothing store,Men's clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 80950 20292,N/A,5.0,,"old bridge Road, Ramnagar, Ramnagar I, Saiyadpur, West Bengal 721441",Ramnagar,21.6790508,87.5627509,ChIJXUB2h1otAzoR9fkdrFD1PFE,https://www.google.com/maps/place/?q=place_id:ChIJXUB2h1otAzoR9fkdrFD1PFE,part_322,2026-09-20 20:34:51
Fashion One,Mens Wear Showroom,Men's clothing store,Men's clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 93395 81466,N/A,,,"Balisai Stand, Kamalakshi Market, BALISAI, West Bengal 721423",721423,21.6783634,87.59827729999999,ChIJnVOUr2gtAzoRx909hdTz-pw,https://www.google.com/maps/place/?q=place_id:ChIJnVOUr2gtAzoRx909hdTz-pw,part_322,2026-09-20 20:34:51
Sk Collection,Mens Wear Showroom,Men's clothing store,Men's clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 77186 12190,https://instagram.com/sk_mukles?igshid=OGQ5ZDc2ODk2ZA==,5.0,,"Ground Floor, Sk Collection, Mini Mahamaya Market Complex, to, Egra Road, Ramnagar, Ramnagar I, Saiyadpur, West Bengal 721441",Ramnagar,21.6792591,87.5627659,ChIJ8Us0avAtAzoRLE_DEDht9pQ,https://www.google.com/maps/place/?q=place_id:ChIJ8Us0avAtAzoRLE_DEDht9pQ,part_322,2026-09-20 20:34:51
Smart Man,Mens Wear Showroom,Clothing store,Clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 96798 09407,N/A,4.6,,"Road, Kalindi, Mandarmani, West Bengal 721455",721423,21.6956809,87.67440069999999,ChIJa4OXLz0vAzoRu6PCc-2To4U,https://www.google.com/maps/place/?q=place_id:ChIJa4OXLz0vAzoRu6PCc-2To4U,part_322,2026-09-20 20:34:51
LIMELIGHT FASHION,Mens Wear Showroom,Men's clothing store,Men's clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 93392 78134,N/A,,,"Balisai, Bararankuya, Digha - Contai Rd, West Bengal 721423",721423,21.6772699,87.5880315,ChIJUTDWQrItAzoRRZlmk04ogVo,https://www.google.com/maps/place/?q=place_id:ChIJUTDWQrItAzoRRZlmk04ogVo,part_322,2026-09-20 20:34:51
TRENDS,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Clothing store, Western apparel store, Youth clothing store",721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 79083 94748,https://trends.shop/page/trends-purba-medinipur-ramnagar,4.4,,"Trends, Ramnagar Vill+ PS, Dist, opposite to Honda showroom, Ramnagar I, West Bengal 721441",721423,21.6782187,87.5686513,ChIJk9kmIBEtAzoRBa3kudayTag,https://www.google.com/maps/place/?q=place_id:ChIJk9kmIBEtAzoRBa3kudayTag,part_322,2026-09-20 20:34:51
Sri Guru Bastralaya,Mens Wear Showroom,Clothing store,Clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",N/A,"https://www.google.co.in/search?source=hp&ei=ufjuW8LnNcTXvgSgqKyIDg&ins=false&q=sri+guru+bastralaya+national+highway+116b+uttar+shitala+west+bengal+721423&oq=&gs_l=mobile-gws-wiz-hp.1.4.35i39l5.0.0..4894...1.0..0.0.0.......0...........5.HOrwL92C3iY#trex=m_t:lcl_akp,rc_f:nav,rc_ludocids:15826801220203660906,rc_q:Sri%2520Guru%2520Bastralaya,ru_q:Sri%2520Guru%2520Bastralaya",5.0,,"NH 116B, Uttar Shitala, West Bengal 721423",721423,21.7199341,87.6633329,ChIJAU6MfjgvAzoRakb1FNsXpNs,https://www.google.com/maps/place/?q=place_id:ChIJAU6MfjgvAzoRakb1FNsXpNs,part_322,2026-09-20 20:34:51
Galaxy Fashion,Mens Wear Showroom,Youth clothing store,"Youth clothing store, Batik clothing store, Women's clothing store",721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 85970 00685,N/A,4.5,,"Chawlkhola Mandarmani Rd, Dadanpatra, Dhunia Baraj, West Bengal 721455",721423,21.6937261,87.6760051,ChIJ8-BY5a0vAzoRuO_JuDmRxL4,https://www.google.com/maps/place/?q=place_id:ChIJ8-BY5a0vAzoRuO_JuDmRxL4,part_322,2026-09-20 20:34:51
Pradhan Vila,Mens Wear Showroom,Clothing store,Clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",N/A,N/A,4.2,,"Ashapurna devi, station road, Ghol, West Bengal 721423",721423,21.7099677,87.6442909,ChIJe-knzvMvAzoR7BO9F5yd2kc,https://www.google.com/maps/place/?q=place_id:ChIJe-knzvMvAzoR7BO9F5yd2kc,part_322,2026-09-20 20:34:51
DESHBANDHU SHOE HOUSE - Best footwear & Trolly Bag at Ramnagar,Mens Wear Showroom,Shoe store,"Shoe store, Bag shop",721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 77186 12119,N/A,4.5,,"Digha egra road, Deshbandhu​ shoe house, Ramnagar I, West Bengal 721441",Ramnagar,21.6787703,87.563085,ChIJcelAkBYtAzoRMoJRiUn_jE8,https://www.google.com/maps/place/?q=place_id:ChIJcelAkBYtAzoRMoJRiUn_jE8,part_322,2026-09-20 20:34:51
MUNNA BHAI Update Style,Mens Wear Showroom,Clothing store,Clothing store,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 79080 97295,N/A,5.0,,"Bus Stand, Digha To Contai Road, Vill Thikra, P.o Hirapur, near Thikra, P.s, Ramnagar I, Kabra, West Bengal 721441",P.s,21.673815899999997,87.54836829999999,ChIJu057ljctAzoRvcVkOrbZU5o,https://www.google.com/maps/place/?q=place_id:ChIJu057ljctAzoRvcVkOrbZU5o,part_322,2026-09-20 20:34:52
