business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Titan World - 100 Ft Road, Velachery",Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Watch Manufacturer, Watch repair service",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 80 6291 4468,https://www.titan.co.in/stores?storeId=WNVCS,4.8,17276,"Shop No 25, Velachery Bypass Rd, below Europa Peter England Outlet, Lakshmi Puram, Velachery, Chennai, Tamil Nadu 600042","Lakshmi Puram, Velachery",12.9885761,80.218689,ChIJf0JVsI9dUjoRi80JNRJFlhM,https://www.google.com/maps/place/?q=place_id:ChIJf0JVsI9dUjoRi80JNRJFlhM,part_330,2026-09-20 20:44:59
ZEDSON Watchcraft,Watch Showroom and Repair,Watch store,"Watch store, Clock repair service, Watch repair service",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 93456 67717,N/A,4.6,89,"Shop A2A, Express Food Street, Rajiv Gandhi Salai, Semmancheri, Chennai, Tamil Nadu 600119",Semmancheri,12.870771099999999,80.2269057,ChIJK7XIUwBbUjoRI--812NMMDg,https://www.google.com/maps/place/?q=place_id:ChIJK7XIUwBbUjoRI--812NMMDg,part_330,2026-09-20 20:44:59
Sai Vignesh Watch & Service Shop,Watch Showroom and Repair,Watch store,"Watch store, Service establishment",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 98410 70315,N/A,4.9,29,"Sai Vignesh Watch & Service Shop, 737107, India",737107,13.1456377,80.0881631,ChIJy6zOcz1nUjoRUUyXQlIdocA,https://www.google.com/maps/place/?q=place_id:ChIJy6zOcz1nUjoRUUyXQlIdocA,part_330,2026-09-20 20:44:59
PG & SONS The Watch Company,Watch Showroom and Repair,Watch repair service,Watch repair service,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 98841 19955,https://pgandsons.in/,4.4,62,"153, Arcot Rd, Ottagapalayam, Somasundara Bharathi Nagar, Vadapalani, Chennai, Tamil Nadu 600026","Ottagapalayam, Somasundara Bharathi Nagar, Vadapalani",13.0496208,80.2112961,ChIJnw1oCoJnUjoR6SekXCq_UuM,https://www.google.com/maps/place/?q=place_id:ChIJnw1oCoJnUjoR6SekXCq_UuM,part_330,2026-09-20 20:44:59
Sapna Watch House,Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Mobile phone repair shop, Watch repair service",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 98410 30443,https://www.instagram.com/sapnawatchhouseperambur?igsh=MTdzb3dqZXprOHV6bQ==,4.8,188,"125, Madhavaram High Rd, Siruvallur, Perambur, Chennai, Tamil Nadu 600011","Siruvallur, Perambur",13.1132964,80.24346469999999,ChIJlXvRnLplUjoRAm-vR9u04qc,https://www.google.com/maps/place/?q=place_id:ChIJlXvRnLplUjoRAm-vR9u04qc,part_330,2026-09-20 20:44:59
Asian Watch Repair Shop,Watch Showroom and Repair,Watch repair service,Watch repair service,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 96772 82229,N/A,4.3,66,"V42R+62F, Melakottaiyur, Tamil Nadu 600127",737107,12.8505518,80.1400599,ChIJO4Dd6FtZUjoRsIuLqsSUx9s,https://www.google.com/maps/place/?q=place_id:ChIJO4Dd6FtZUjoRsIuLqsSUx9s,part_330,2026-09-20 20:44:59
MDR & sons watches,Watch Showroom and Repair,Watch store,Watch store,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 89395 62211,N/A,4.4,31,"12, Thirumani Amman nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040","Anna Nagar West, Anna Nagar",13.085517,80.19953749999999,ChIJGe6AVxtkUjoRO5AolXlwGgs,https://www.google.com/maps/place/?q=place_id:ChIJGe6AVxtkUjoRO5AolXlwGgs,part_330,2026-09-20 20:44:59
Zenith Watch Co,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 99401 31945,https://zenithwatchco.com/,4.1,55,"New No.239, Kutchery Rd, Luz Corner, Kapali Thottam, Mylapore, Chennai, Tamil Nadu 600004","Luz Corner, Kapali Thottam, Mylapore",13.036593,80.26806409999999,ChIJuUtgLNNnUjoRZBle0gLPKiI,https://www.google.com/maps/place/?q=place_id:ChIJuUtgLNNnUjoRZBle0gLPKiI,part_330,2026-09-20 20:44:59
Peer & Sons,Watch Showroom and Repair,Watch repair service,Watch repair service,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 98842 91007,N/A,4.9,18,"Shop No. 127, 172, Kutchery Rd, Vinayaka Nagar Colony, Mylapore, Chennai, Tamil Nadu 600004","Vinayaka Nagar Colony, Mylapore",13.0362659,80.2690288,ChIJ7xrtLdNnUjoR_c_31RYkpTM,https://www.google.com/maps/place/?q=place_id:ChIJ7xrtLdNnUjoR_c_31RYkpTM,part_330,2026-09-20 20:44:59
SRI SAI RAJ WATCH SERVICE CENTRE,Watch Showroom and Repair,Watch store,Watch store,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 75501 05572,N/A,4.2,18,"3B, 1st Main Rd, United India Colony, Kodambakkam, Chennai, Tamil Nadu 600024","United India Colony, Kodambakkam",13.052169,80.227621,ChIJbVR3HvRmUjoR8l9RSmJSiis,https://www.google.com/maps/place/?q=place_id:ChIJbVR3HvRmUjoR8l9RSmJSiis,part_330,2026-09-20 20:44:59
The Watch World,Watch Showroom and Repair,Watch store,Watch store,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 90032 88063,N/A,4.5,10,"76, Bajanai Koil St, Pallavaram, Pallavaram (Contonment), Tamil Nadu 600043",Pallavaram,12.9704204,80.14687649999999,ChIJ3xmOlDNeUjoRFCfQunTg_UM,https://www.google.com/maps/place/?q=place_id:ChIJ3xmOlDNeUjoRFCfQunTg_UM,part_330,2026-09-20 20:44:59
Bharath Watch Co,Watch Showroom and Repair,Watch store,"Watch store, Watch repair service",737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 99520 77177,N/A,4.7,14,"No. 2, Sardar Patel Road, Baktavatsalm Nagar, Adyar, Chennai, Tamil Nadu 600020","Baktavatsalm Nagar, Adyar",13.006302199999999,80.2569183,ChIJR6lGiuxnUjoRUU58bHlE1Zs,https://www.google.com/maps/place/?q=place_id:ChIJR6lGiuxnUjoRUU58bHlE1Zs,part_330,2026-09-20 20:44:59
K .S .Watch Company,Watch Showroom and Repair,Watch repair service,Watch repair service,737107,West Bengal Circle,North Bengal Region,Sikkim Division,"Dikchu SO, Gor BO, Lumlingthyang BO",+91 97898 78484,N/A,4.4,23,"No:41/24,K.K.Salai, M.G.R.Nagar, Chennai, Tamil Nadu 600078","MGR Nagar, Nesapakkam",13.034464999999999,80.2012395,ChIJfyWMe9hmUjoRnuObK8AWcYk,https://www.google.com/maps/place/?q=place_id:ChIJfyWMe9hmUjoRnuObK8AWcYk,part_330,2026-09-20 20:44:59
