business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JOY MAA KALI FERTILIZER,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 96099 67635,N/A,,,"NBSTC BUS STAND, OPP:, Keshab Rd, Cooch Behar, West Bengal 736101",736101,26.3305603,89.4433914,ChIJfwR1CKz_4jkR7C_H8VMZbm0,https://www.google.com/maps/place/?q=place_id:ChIJfwR1CKz_4jkR7C_H8VMZbm0,part_330,2026-09-20 20:18:34
Echem Corp,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98300 31351,https://echemcorp.in/,4.8,,"Ste 1051, North Wing, 32, Ezra St, Chitpur, Barabazar Market, Kolkata, West Bengal 700001","Chitpur, Barabazar Market",22.575243999999998,88.353055,ChIJd8WUQbRwAjoR7mSohTxz29k,https://www.google.com/maps/place/?q=place_id:ChIJd8WUQbRwAjoR7mSohTxz29k,part_330,2026-09-20 20:18:35
Greenco Chemicals,Chemical Wholesalers,Chemical Wholesalers,Chemical Wholesalers,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 70028 83328,N/A,,,"8, Biswa Singha Rd, Cooch Behar, West Bengal 736101",736101,26.3249052,89.4452258,ChIJb3cSuoL-4jkRsMTOAPIVfK8,https://www.google.com/maps/place/?q=place_id:ChIJb3cSuoL-4jkRsMTOAPIVfK8,part_330,2026-09-20 20:18:35
Maa MUNDESHWARI chemicals,Chemical Wholesalers,Industrial chemicals wholesaler,Industrial chemicals wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98314 87898,N/A,,,"16 no, Bonfield Ln, near Netaji Subhas Road, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001","China Bazar, B.B.D. Bagh",22.5797414,88.3506488,ChIJ93a9JAN3AjoRfHWYg48ZnbA,https://www.google.com/maps/place/?q=place_id:ChIJ93a9JAN3AjoRfHWYg48ZnbA,part_330,2026-09-20 20:18:35
Aditya Commercial Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98302 63788,https://www.adityacommercial.com/,4.3,,"Ground Floor, 09, Amratala St, near KOTAK MAHINDRA BANK, Bortola, Barabazar Market, Kolkata, West Bengal 700001","Bortola, Barabazar Market",22.5785114,88.3539952,ChIJ22h3ZLB3AjoRWV39MrnMb4M,https://www.google.com/maps/place/?q=place_id:ChIJ22h3ZLB3AjoRWV39MrnMb4M,part_330,2026-09-20 20:18:35
Dey's Chemical Co,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 93310 92407,N/A,4.0,,"Rm No. 26A, 3rd floor, Strand Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.579808,88.3491136,ChIJZSWEoIt3AjoRB14MC--nDws,https://www.google.com/maps/place/?q=place_id:ChIJZSWEoIt3AjoRB14MC--nDws,part_330,2026-09-20 20:18:35
Sree ram Chemical,Chemical Wholesalers,Wholesaler,Wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,5.0,7.0,"B/32/1, H/11, Biplabi Barin Ghosh Sarani, Ultadanga, Kolkata, West Bengal 700067",Ultadanga,22.5879409,88.3888413,ChIJ2aSe_mF3AjoRnpN6oceSjzQ,https://www.google.com/maps/place/?q=place_id:ChIJ2aSe_mF3AjoRnpN6oceSjzQ,part_330,2026-09-20 20:18:36
Chemical Traders & Distributors,Chemical Wholesalers,Chemical Exporter,Chemical Exporter,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98312 84777,https://ctd.ind.in/,5.0,1.0,"150, BK Paul Ave, Sovabazar, Beniatola, Kolkata, West Bengal 700005","Sovabazar, Beniatola",22.5962312,88.3635561,ChIJV8h_p5FU4KQRlAICO36vzfM,https://www.google.com/maps/place/?q=place_id:ChIJV8h_p5FU4KQRlAICO36vzfM,part_330,2026-09-20 20:18:36
East India and RX MARINE Chemical International,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Industrial chemicals wholesaler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 80 6997 6663,http://eastindiachemicals.com/,2.8,4.0,"Jalan Industrial Complex, Jangalpur, Gate No-03,, Near khetan electronics, PO. Argori, P.S. Sankrail, Howrah, West Bengal 711411",Biparnna Para,22.592595499999998,88.21614509999999,ChIJu0DV9nF_AjoRefPzJDf5s9A,https://www.google.com/maps/place/?q=place_id:ChIJu0DV9nF_AjoRefPzJDf5s9A,part_330,2026-09-20 20:18:36
A TO Z Chemicals,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Petroleum Products Company",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98302 37473,https://www.atozchemicals.in/,3.6,8.0,"Fl 8, Room-10, Mezz, 1, Lal Bazar St, Kolkata, West Bengal 700001","Radha Bazar, Lal Bazar",22.572622799999998,88.3518174,ChIJUQJAn6V3AjoRq0vYbINVEow,https://www.google.com/maps/place/?q=place_id:ChIJUQJAn6V3AjoRq0vYbINVEow,part_330,2026-09-20 20:18:36
Chemtex Speciality Limited,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Chemical Exporter, Chemical Manufacturer, Industrial chemicals wholesaler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 89611 11111,https://www.chemtexltd.com/,4.2,271.0,"Wing A - 1st Floor, Haute Street Corporate Park, 86A, Topsia Rd, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.542488799999997,88.3856572,ChIJD18xvcB2AjoRoxv1YIrcOmA,https://www.google.com/maps/place/?q=place_id:ChIJD18xvcB2AjoRoxv1YIrcOmA,part_330,2026-09-20 20:18:36
Shreeram Chemical Industries,Chemical Wholesalers,Manufacturer,Manufacturer,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 33 2237 6456,http://shreeramchemicals.com/,2.9,11.0,"50/2A, Cossipore, Newland, College Square, Kolkata, West Bengal 700012","Cossipore, Newland, College Square",22.572646,88.3638951,ChIJkZ-bGL93AjoRIdwivPO6pGA,https://www.google.com/maps/place/?q=place_id:ChIJkZ-bGL93AjoRIdwivPO6pGA,part_330,2026-09-20 20:18:36
KAINAT DRUG DISTRIBUTOR,Chemical Wholesalers,Wholesale drugstore,Wholesale drugstore,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98007 34898,N/A,5.0,2.0,"Ward No 03, Telephone Exchange More, near BSNL Office, Dinhata, West Bengal 736135",736101,26.1372157,89.46385939999999,ChIJQStExZXj4jkRW7hkeT58Uz4,https://www.google.com/maps/place/?q=place_id:ChIJQStExZXj4jkRW7hkeT58Uz4,part_330,2026-09-20 20:18:36
Chemicals (India) Company,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 33 2242 8256,http://www.chemicalsindiacompany.com/,3.7,3.0,"2nd Floor, Brabourne Road, Brabourne Road, Kolkata, West Bengal 700001","Murgighata, B.B.D. Bagh",22.5767848,88.3519951,ChIJixZHubp3AjoRNts_SHOaYI4,https://www.google.com/maps/place/?q=place_id:ChIJixZHubp3AjoRNts_SHOaYI4,part_330,2026-09-20 20:18:36
OMSYS INDIA,Chemical Wholesalers,Laboratory equipment supplier,"Laboratory equipment supplier, Chemical wholesaler, Industrial chemicals wholesaler, Leather Exporter",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 33 2412 1212,http://www.omsysindia.co.in/,4.0,16.0,"2/4, Jadavpur E Rd, Bidhanpally, Jadavpur, Kolkata, West Bengal 700032","Bidhanpally, Jadavpur",22.495245,88.3676605,ChIJ_6d6tlx3AjoRYxSvThhD2dQ,https://www.google.com/maps/place/?q=place_id:ChIJ_6d6tlx3AjoRYxSvThhD2dQ,part_330,2026-09-20 20:18:36
Fine Chemicals & Solvents,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,https://finechem.co.in/,3.0,2.0,"309, Bepin Behari Ganguly St, New Market Area, Dharmatala, Bowbazar, Kolkata, West Bengal 700012","New Market Area, Dharmatala, Bowbazar",22.57208,88.3536635,ChIJ4cnOZK93AjoR60KHpAxQLyo,https://www.google.com/maps/place/?q=place_id:ChIJ4cnOZK93AjoR60KHpAxQLyo,part_330,2026-09-20 20:18:36
West Bengal Chemical Industries Limited,Chemical Wholesalers,Pharmaceutical company,"Pharmaceutical company, Chemical Manufacturer, Pharmaceuticals Exporter",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 33 4025 1539,https://wbcil.com/,3.6,28.0,"145/1, Jessore Rd, Bangur Avenue, Block A, Lake Town, Kolkata, West Bengal 700089","Bangur Avenue, Block A, Lake Town",22.610008099999998,88.4041642,ChIJ58gHP_51AjoRLEVOjPoQPsc,https://www.google.com/maps/place/?q=place_id:ChIJ58gHP_51AjoRLEVOjPoQPsc,part_330,2026-09-20 20:18:36
