business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raghav Associates (Adv Dheeraj Raghav),Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Law firm",722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,https://dheerajraghav.com/,5.0,30,"Court Complex, Chamber No-310, western wing, Tis Hazari, New Delhi, Delhi 110054",Tis Hazari,28.665030599999998,77.2168903,ChIJmT8rcwD9DDkROXgtXdPBdTw,https://www.google.com/maps/place/?q=place_id:ChIJmT8rcwD9DDkROXgtXdPBdTw,part_325,2026-09-20 20:20:37
Advocate Jyoti Sipani - Lawyer in Howrah,Advocate and Lawyer,Lawyer,Lawyer,722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,N/A,4.8,42,"24/1, Babudanga, Bandhaghat, Salkia, Howrah, West Bengal 711106","Babudanga, Bandhaghat, Salkia",22.602881999999997,88.345693,ChIJRWLCPeF3AjoRVE7oTejsuAc,https://www.google.com/maps/place/?q=place_id:ChIJRWLCPeF3AjoRVE7oTejsuAc,part_325,2026-09-20 20:20:37
Advocate Tax & Legal Services,Advocate and Lawyer,Accountant,Accountant,722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,N/A,5.0,1,"Udhana, Shivaji Nagar, Limbayat, Surat, Gujarat 395012","Udhana, Shivaji Nagar, Limbayat",21.1719027,72.8617027,ChIJK2L_DM9P4DsR_I4p_DQ8DOI,https://www.google.com/maps/place/?q=place_id:ChIJK2L_DM9P4DsR_I4p_DQ8DOI,part_325,2026-09-20 20:20:37
Advocate Naran Desai Home,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,N/A,5.0,2,"J8FP+XH4, Panchot, Gujarat 384005",722204,23.624703,72.336285,ChIJK04KoC9DXDkR7Pwg6zc5Q7o,https://www.google.com/maps/place/?q=place_id:ChIJK04KoC9DXDkR7Pwg6zc5Q7o,part_325,2026-09-20 20:20:37
PathLegal,Advocate and Lawyer,Legal services,"Legal services, Civil law attorney, Family law attorney, Law firm, Lawyers association, Public defender's office, Real estate attorney",722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,https://www.pathlegal.in/,3.4,25,"Royal Plaza, XIX/73, Bridge Rd, Periyar Nagar, Aluva, Keralam 683101",Periyar Nagar,10.110763,76.35115929999999,ChIJ_6VyOiYPCDsRjXj1T8ORAQM,https://www.google.com/maps/place/?q=place_id:ChIJ_6VyOiYPCDsRjXj1T8ORAQM,part_325,2026-09-20 20:20:37
Advocate,Advocate and Lawyer,Lawyer,Lawyer,722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,+91 94605 11603,N/A,5.0,1,"13raghuratan Complax, Jalore, Rajasthan 343001",722204,25.3412701,72.5914617,ChIJXePJLhAHQzkRztpzXGwU5GY,https://www.google.com/maps/place/?q=place_id:ChIJXePJLhAHQzkRztpzXGwU5GY,part_325,2026-09-20 20:20:37
Lead India Law,Advocate and Lawyer,Law firm,"Law firm, Attorney referral service, Criminal justice attorney, Divorce lawyer, Divorce service, Employment attorney, Legal services, Marriage license bureau, Public defender's office, Real estate attorney",722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,+91 88004 44555,https://www.leadindia.law/,4.7,1173,"Lead India Law, Kanchanjunga Building, Metro Station, 304, Barakhamba Rd, near Barakhamba, Fire Brigade Lane, Connaught Place, New Delhi, Delhi 110001","Fire Brigade Lane, Connaught Place",28.6300022,77.2252966,ChIJ3U4K-qz8DDkRXvAN6IVsSds,https://www.google.com/maps/place/?q=place_id:ChIJ3U4K-qz8DDkRXvAN6IVsSds,part_325,2026-09-20 20:20:37
Office of Advocate Rajat Vaishnaw,Advocate and Lawyer,Legal services,"Legal services, Bankruptcy attorney, Family law attorney, Insurance attorney, Intellectual property registry, Patent attorney, Tax attorney, Tax consultant, Trial attorney",722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,N/A,5.0,4,"Ummed Nagar, near Shrimal Nagar, Shrimal Nagar, Bhinmal, Rajasthan 343029",Shrimal Nagar,25.0095246,72.2808799,ChIJ-8jTsIdrQzkRY1K51UjsucM,https://www.google.com/maps/place/?q=place_id:ChIJ-8jTsIdrQzkRY1K51UjsucM,part_325,2026-09-20 20:20:37
KUBERAA ASSOCIATES,Advocate and Lawyer,Lawyer,Lawyer,722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,N/A,https://kuberaaassociates.in/,4.2,5,"Rm No. 9, 3rd Floor, 19, Netaji Subhas Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.575389299999998,88.348287,ChIJeY5ctVN3AjoRjTlQsSHnqr8,https://www.google.com/maps/place/?q=place_id:ChIJeY5ctVN3AjoRjTlQsSHnqr8,part_325,2026-09-20 20:20:38
Advocate Ashis Kumar Chowdhury | Criminal Lawyer in Kolkata,Advocate and Lawyer,Lawyer,"Lawyer, Handball court, Justice department, Law firm",722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO,+91 98309 51731,https://advocateakc.com/,4.4,141,"5th floor, 6, Old Post Office St, B.B.D. Bagh, Kolkata, West Bengal 700001",B.B.D. Bagh,22.568308899999998,88.3443106,ChIJU70J6qF3AjoR1fus7nVEI-s,https://www.google.com/maps/place/?q=place_id:ChIJU70J6qF3AjoR1fus7nVEI-s,part_325,2026-09-20 20:20:38
