business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lombu Cycle,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 91345 13448,N/A,4.8,,"Tikiapara more, near Sahitya Bhawan, Siliguri, West Bengal 734004","Ward 28, Babupara",26.7038853,88.4291116,ChIJyQcfaVlB5DkRtUJMYPX2qiA,https://www.google.com/maps/place/?q=place_id:ChIJyQcfaVlB5DkRtUJMYPX2qiA,part_328,2026-09-20 20:18:05
India Cycles,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 98323 88117,N/A,4.9,,"Laketown, Babupara, Siliguri, West Bengal 734007","Laketown, Babupara",26.6948343,88.4250371,ChIJm_xWXt9D5DkR3eMNy7Ylq8g,https://www.google.com/maps/place/?q=place_id:ChIJm_xWXt9D5DkR3eMNy7Ylq8g,part_328,2026-09-20 20:18:05
Siliguri Cycle Rental,Bicycle Shop and Repair,Bicycle rental service,"Bicycle rental service, Adventure Sports Center, Bicycle Shop, Sports Equipment Rental Agency, Used bicycle shop",734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 99336 48464,https://siliguri-cycle-rental.grexa.site/,4.5,,"near NJP Railway Station Road, opposite TIRUPATI LODGE, Ram Nagar Colony, Dabgram, Siliguri, West Bengal 734007","Ram Nagar Colony, Dabgram",26.6861608,88.44407389999999,ChIJd002vzRB5DkRDYlUB03dNj4,https://www.google.com/maps/place/?q=place_id:ChIJd002vzRB5DkRDYlUB03dNj4,part_328,2026-09-20 20:18:05
Sukumar Cycle Store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 98326 25158,N/A,5.0,,"Ghogomali Rd, near Central Bank, Madhya Chayan Para, Ward 37, Ghogomali, Siliguri, West Bengal 734006","Madhya Chayan Para, Ward 37, Ghogomali",26.7139167,88.4502353,ChIJFXOUUQlB5DkRJ666zllyYnM,https://www.google.com/maps/place/?q=place_id:ChIJFXOUUQlB5DkRJ666zllyYnM,part_328,2026-09-20 20:18:05
Lakshmi Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 92334 70478,N/A,4.1,,"Bidhan Rd, opposite Auto Stand, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.716785599999998,88.4265827,ChIJA7zpsGxB5DkRwYfEICEVycg,https://www.google.com/maps/place/?q=place_id:ChIJA7zpsGxB5DkRwYfEICEVycg,part_328,2026-09-20 20:18:05
Robi Bike Service Centre,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 96414 79347,N/A,5.0,,"Robi Bike Service Centre, NGP Hospital, More, Nayapara, Siliguri, West Bengal 734007",Nayapara,26.6831236,88.4447794,ChIJfecUoO9D5DkRoEqatqnLqh4,https://www.google.com/maps/place/?q=place_id:ChIJfecUoO9D5DkRoEqatqnLqh4,part_328,2026-09-20 20:18:05
The bike btothers,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 89188 29300,N/A,2.0,,"PF43+WPH, Panchanan Rd, Ward 36, Ghogomali, Siliguri, West Bengal 734006","Ward 36, Ghogomali",26.707322299999998,88.4543645,ChIJMScKTNVB5DkRFqanmi157dY,https://www.google.com/maps/place/?q=place_id:ChIJMScKTNVB5DkRFqanmi157dY,part_328,2026-09-20 20:18:05
Paran cycle repair shop,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",N/A,N/A,,,"PC3X+X4P, Ward 23, Shanti Nagar, Siliguri, West Bengal 734006","Ward 23, Shanti Nagar",26.704954299999997,88.4477984,ChIJCzK4GwBB5DkRS3qFgWtkWKM,https://www.google.com/maps/place/?q=place_id:ChIJCzK4GwBB5DkRS3qFgWtkWKM,part_328,2026-09-20 20:18:05
The Bike World,Bicycle Shop and Repair,Truck stop,Truck stop,734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 98327 86918,N/A,5.0,,"Ashighar Rd, Ghogomali, Siliguri, West Bengal 734006",Ghogomali,26.716866999999997,88.45818969999999,ChIJ65lONLVB5DkRArRXnHDASx4,https://www.google.com/maps/place/?q=place_id:ChIJ65lONLVB5DkRArRXnHDASx4,part_328,2026-09-20 20:18:05
The Hill Rider-Bike Rental in Siliguri,Bicycle Shop and Repair,Two Wheeler Rental Agency,"Two Wheeler Rental Agency, Scooter rental service",734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO",+91 89678 58104,https://thehillrider.in/,4.9,,"APC Sarani Rd, near Paul Bekary, Ward 30, Deshbandhu Para, Siliguri, West Bengal 734004","Ward 30, Deshbandhu Para",26.6977403,88.4303582,ChIJJ7Nj1kpB5DkRYZBniy6QB38,https://www.google.com/maps/place/?q=place_id:ChIJJ7Nj1kpB5DkRYZBniy6QB38,part_328,2026-09-20 20:18:06
