business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CELEBRATION CATERERS,Caterer and Event Planner,Caterer,Caterer,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 95116 25269,N/A,4.9,15.0,"Shivaji Chowk, Mhatoba Temple Rd, near Hanuman, Phase 1, Hinjawadi, Maharashtra 411057","Phase 1, Hinjawadi",18.5838331,73.7389493,ChIJ071vYua7wjsRxvDUjL94naU,https://www.google.com/maps/place/?q=place_id:ChIJ071vYua7wjsRxvDUjL94naU,part_322,2026-09-20 20:33:35
Durga Caterers,Caterer and Event Planner,Event planner,Event planner,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 86556 10507,N/A,4.8,16.0,"C-01, Chamund, near, Western Express Hwy, ITT Bhatti, Hanuman Tekdi, Dahisar East, Mumbai, Maharashtra 400063","ITT Bhatti, Hanuman Tekdi, Dahisar East",19.173558399999997,72.8584683,ChIJBc4TvNO35zsR1G76ZF5shuI,https://www.google.com/maps/place/?q=place_id:ChIJBc4TvNO35zsR1G76ZF5shuI,part_322,2026-09-20 20:33:35
Shreenath Caterers,Caterer and Event Planner,Caterer,Caterer,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 95790 16044,https://shreenathcaterers.com/,5.0,263.0,"Laxmi Chowk Rd, Vinode Nagar Rd, Phase 1, Bhumkar Nagar, Wakad, Pimpri-Chinchwad, Pune, Maharashtra 411057","Phase 1, Bhumkar Nagar, Wakad",18.6022657,73.7497762,ChIJjx7buRG5wjsRosTDuPSlcvU,https://www.google.com/maps/place/?q=place_id:ChIJjx7buRG5wjsRosTDuPSlcvU,part_322,2026-09-20 20:33:35
Vj catering service & Event Management,Caterer and Event Planner,Caterer,Caterer,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 86681 35345,https://businesscrd.in/vj-catering-service,4.9,144.0,"127/20, Manali New Town, Chennai, Edayanchavadi, Tamil Nadu 600103",Manali New Town,13.200550999999999,80.276603,ChIJUQ79PpJ7UjoR60n6r96pjBs,https://www.google.com/maps/place/?q=place_id:ChIJUQ79PpJ7UjoR60n6r96pjBs,part_322,2026-09-20 20:33:36
"TSR CATERING & EVENTS, Best Caterer in Pune for Corporate / Wedding / Birthday / House Warming / Baby Shower / Canteen",Caterer and Event Planner,Caterer,"Caterer, Cafeteria, Children's party buffet, Equipment rental agency, Event management company, Event planner, Event venue, Party planner, Restaurant supply store, Wedding planner",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,http://tsrcatering.co.in/,4.9,572.0,"TSR CATERING AND EVENTS, From highway, enter next to leward hotel. Take left before Star Furniture, Gaon, Patil Nagar, Balewadi, Pune, Maharashtra 411045","Patil Nagar, Balewadi",18.581964499999998,73.7633395,ChIJSaYGRPy_wjsRShLtY_6SDNI,https://www.google.com/maps/place/?q=place_id:ChIJSaYGRPy_wjsRShLtY_6SDNI,part_322,2026-09-20 20:33:36
Vandana Caterers and Events,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,N/A,5.0,32.0,"Veterinary Colony, M. R. H. 40, Jail Rd, Bhopal, Madhya Pradesh 462008","Behind Pashu Hospital, Jhapa Colony, Jahangirabad",23.242992599999997,77.4169443,ChIJs-IwXQ9DfDkReXtTDYn3C8k,https://www.google.com/maps/place/?q=place_id:ChIJs-IwXQ9DfDkReXtTDYn3C8k,part_322,2026-09-20 20:33:36
S. P. Veera Catering Services & Event Organizing,Caterer and Event Planner,Caterer,Caterer,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",N/A,N/A,4.9,183.0,"No.7B, Velunaicker Street, near ramana vidyalaya school, Sholinganallur, Chennai, Tamil Nadu 600119",Sholinganallur,12.8963574,80.23167889999999,ChIJXVXxpJ1bUjoRAmD8BHYnwA4,https://www.google.com/maps/place/?q=place_id:ChIJXVXxpJ1bUjoRAmD8BHYnwA4,part_322,2026-09-20 20:33:36
Rupa Event Planner & RR Caterer and Event Management,Caterer and Event Planner,Event management company,Event management company,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 62891 36879,http://rupaeventplanner.com/,4.6,11.0,"Number - 651, Community Centre -2, IIC/1947, Street, near Akankha more, AA II, Newtown, Kolkata, Chakpachuria, West Bengal 700160","AA II, Newtown",22.5869908,88.4904839,ChIJZbV7LWgLAjoRaf-2KYBBp7k,https://www.google.com/maps/place/?q=place_id:ChIJZbV7LWgLAjoRaf-2KYBBp7k,part_322,2026-09-20 20:33:36
Sri Sairam Catering,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Restaurant supply store, Wedding buffet",721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 90877 99087,https://srisairamcatering.in/,4.9,1001.0,"No 10, 21, New State Bank Colony 2nd St, West Tambaram, Tambaram, Tamil Nadu 600045","West Tambaram, Tambaram",12.927703,80.11100669999999,ChIJUzdIkqBfUjoRm8OBUTidTFY,https://www.google.com/maps/place/?q=place_id:ChIJUzdIkqBfUjoRm8OBUTidTFY,part_322,2026-09-20 20:33:36
Prakash caterers,Caterer and Event Planner,Caterer,Caterer,721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO",+91 90227 94463,https://jsdl.in/RSL-HBS1748573572,4.9,20.0,"Bramhanaali, Makunsar, Maharashtra 401102",Bramhanaali,19.5950886,72.77700999999999,ChIJnaJg1d0D5zsR5pupjqXll-g,https://www.google.com/maps/place/?q=place_id:ChIJnaJg1d0D5zsR5pupjqXll-g,part_322,2026-09-20 20:33:36
