business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Car Driver,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 70637 49805,N/A,5.0,,"Station, Samsi, West Bengal 732139",732139,25.2768129,88.0102187,ChIJRRJ8NxbD-jkRPtJJd1xTkTc,https://www.google.com/maps/place/?q=place_id:ChIJRRJ8NxbD-jkRPtJJd1xTkTc,part_327,2026-09-20 20:17:42
DTDC EXPRESS LTD CHANCHAL,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.2,,"1, Chanchal Block Rd, Chanchal, West Bengal 732123",732139,25.3923721,88.0106289,ChIJaUtgJsvE-jkRU17CFO2_VHs,https://www.google.com/maps/place/?q=place_id:ChIJaUtgJsvE-jkRU17CFO2_VHs,part_327,2026-09-20 20:17:42
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://www.bluedart.com/,2.7,,"Malancha Pally, Malda, West Bengal 732103",Malancha Pally,24.988294699999997,88.1358575,ChIJ6Xv67Nj9-jkRQbdaJBF4d3o,https://www.google.com/maps/place/?q=place_id:ChIJ6Xv67Nj9-jkRQbdaJBF4d3o,part_327,2026-09-20 20:17:42
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://www.bluedart.com/,3.1,,"Taratala, Dist, near Congress Party Office, Chanchal, West Bengal 732123",732139,25.391475999999997,88.009453,ChIJ-XKOTTXb-jkRD_4dFysxI0Y,https://www.google.com/maps/place/?q=place_id:ChIJ-XKOTTXb-jkRD_4dFysxI0Y,part_327,2026-09-20 20:17:42
Ecom Express,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,3.4,,"92W2+FXG, Khelanpur, Chanchal, West Bengal 732123",732139,25.3961753,88.0024466,ChIJyZWKXc_E-jkRh8LsRaOxyIs,https://www.google.com/maps/place/?q=place_id:ChIJyZWKXc_E-jkRh8LsRaOxyIs,part_327,2026-09-20 20:17:42
AYATA,Courier and Cargo Service,Delivery service,Delivery service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://www.ayata.in/,5.0,,"72F3+CH4, Samsi, West Bengal 732139",732139,25.273517299999998,88.00395429999999,ChIJG4qqYQDD-jkRmrorx4QT9Do,https://www.google.com/maps/place/?q=place_id:ChIJG4qqYQDD-jkRmrorx4QT9Do,part_327,2026-09-20 20:17:42
BENESWAR STORE,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 98329 05593,N/A,,,"Shripur, Gazole, West Bengal 732139",732139,25.2551444,88.0453253,ChIJSYqEju3n-jkRpkMwmuQCMQo,https://www.google.com/maps/place/?q=place_id:ChIJSYqEju3n-jkRpkMwmuQCMQo,part_327,2026-09-20 20:17:42
Courier Service (M/S Ayan Gupta),Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.7,32.0,"Subhash Pally, Ward Number 25, Uma Roy Sarani, Malda, West Bengal 732102","Subhash Pally, Ward Number 25, Uma Roy Sarani",25.010750899999998,88.1353243,ChIJAbW93cn9-jkRf7uSxsmdNm0,https://www.google.com/maps/place/?q=place_id:ChIJAbW93cn9-jkRf7uSxsmdNm0,part_327,2026-09-20 20:17:43
DTDC COURIER SERVICE _MANGALBARI,Courier and Cargo Service,Courier service,"Courier service, Camera repair shop, Computer service",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://www.facebook.com/dtdcmangalbari,4.9,49.0,"ANJALI APARTMENT GROUND FLOOR, ROOM NO9,AXIS BANK BUILDING, Mangalbari, West Bengal 732142",School Para,25.018198599999998,88.1468728,ChIJYYLTJd_9-jkRrwKGPkEgdTk,https://www.google.com/maps/place/?q=place_id:ChIJYYLTJd_9-jkRrwKGPkEgdTk,part_327,2026-09-20 20:17:43
SKY KING COURIER SERVICE,Courier and Cargo Service,Courier service,Courier service,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 92327 99811,http://www.skyking.co/,2.5,34.0,"JOY PLAZA SHOOPING COMPLEX, HOTEL PARBAT BUILDING, Sarbamangala Pally, Rathbari, Malda, West Bengal 732101","Sarbamangala Pally, Rathbari",25.004665199999998,88.1360505,ChIJg86z_NH9-jkRO-4xRGNlM3Q,https://www.google.com/maps/place/?q=place_id:ChIJg86z_NH9-jkRO-4xRGNlM3Q,part_327,2026-09-20 20:17:43
