business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Alipurduar Dooars Cricket Academy,Sports Academy and Turf Ground,Sports school,Sports school,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 89182 58718,N/A,4.2,51.0,"Babupara, Alipurduar, West Bengal 736121",Babupara,26.4765865,89.524335,ChIJqfTQMA5X4jkR3WFkx5efqwo,https://www.google.com/maps/place/?q=place_id:ChIJqfTQMA5X4jkR3WFkx5efqwo,part_330,2026-09-20 20:19:12
DRM GROUND,Sports Academy and Turf Ground,Football club,"Football club, Cricket club, Playground",736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.4,263.0,"1, Engineering Colony, Arabinda Colony, Alipurduar, Chechakhata, West Bengal 736123","Engineering Colony, Arabinda Colony",26.534920099999997,89.5378923,ChIJTabsoL1Q4jkRn1XNJrZiTco,https://www.google.com/maps/place/?q=place_id:ChIJTabsoL1Q4jkRn1XNJrZiTco,part_330,2026-09-20 20:19:12
CSA cricket academy,Sports Academy and Turf Ground,Sports club,Sports club,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 97332 02925,https://aca-cricket-academy.vercel.app/,4.2,17.0,"GG3G+GHV, Arabinda Nagar, Alipurduar, Paschim Jitpur, West Bengal 736122",Arabinda Nagar,26.5038539,89.5264297,ChIJk9SFwrlX4jkRgZW_OcZuKpo,https://www.google.com/maps/place/?q=place_id:ChIJk9SFwrlX4jkRgZW_OcZuKpo,part_330,2026-09-20 20:19:12
Alipurduar Indoor Stadium,Sports Academy and Turf Ground,Indoor playground,"Indoor playground, Stadium",736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.2,140.0,"Court, Alipurduar, Sobhaganj, West Bengal 736122",736121,26.5036111,89.5305556,ChIJq6pq0TdX4jkRVV1jvBRKwjo,https://www.google.com/maps/place/?q=place_id:ChIJq6pq0TdX4jkRVV1jvBRKwjo,part_330,2026-09-20 20:19:12
Arabinda Nagar Play Ground,Sports Academy and Turf Ground,Playground,Playground,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.0,409.0,"Arabinda Nagar, Paschim Jitpur, West Bengal 736122",Arabinda Nagar,26.5025789,89.5261834,ChIJ71FxyzBX4jkRow1hT_kkPro,https://www.google.com/maps/place/?q=place_id:ChIJ71FxyzBX4jkRow1hT_kkPro,part_330,2026-09-20 20:19:12
Town Club Ground,Sports Academy and Turf Ground,Playground,Playground,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.3,29.0,"FGGF+FCM, Alipurduar, West Bengal 736121",736121,26.4762153,89.5235572,ChIJR0Uepg9X4jkRaYlbTw27E1U,https://www.google.com/maps/place/?q=place_id:ChIJR0Uepg9X4jkRaYlbTw27E1U,part_330,2026-09-20 20:19:12
Rail Way Indoor Stadium,Sports Academy and Turf Ground,Stadium,Stadium,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.0,123.0,"GGGQ+RPX, Chechakhata, West Bengal 736123",736121,26.527117399999998,89.5393467,ChIJKZAKH7tQ4jkRxwaWLKvzXSg,https://www.google.com/maps/place/?q=place_id:ChIJKZAKH7tQ4jkRxwaWLKvzXSg,part_330,2026-09-20 20:19:12
ABAHANI CLUB Ground,Sports Academy and Turf Ground,Playground,Playground,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,5.0,1.0,"FGX9+7HV, Sobhaganj, West Bengal 736122",736121,26.4982333,89.518913,ChIJ01VgrD5X4jkRVL20GwhJzaQ,https://www.google.com/maps/place/?q=place_id:ChIJ01VgrD5X4jkRVL20GwhJzaQ,part_330,2026-09-20 20:19:12
Surya Nagar Ground,Sports Academy and Turf Ground,Playground,Playground,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.3,538.0,"FGWC+RWF, Surya Nagar, Alipurduar, West Bengal 736122",Surya Nagar,26.497199,89.5229289,ChIJu4TEFJxX4jkRJCMDkIqy06M,https://www.google.com/maps/place/?q=place_id:ChIJu4TEFJxX4jkRJCMDkIqy06M,part_330,2026-09-20 20:19:12
NABIN CLUB FOOTBALL GROUND,Sports Academy and Turf Ground,Playground,Playground,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,4.5,2.0,"Nabin Club Cricket Ground, State Highway, 12A, Alipurduar Rly.Jnc., Paschim Jitpur, West Bengal 736123",12A,26.5090234,89.53140839999999,ChIJJyI8IABX4jkR7yrPS4u0DqI,https://www.google.com/maps/place/?q=place_id:ChIJJyI8IABX4jkR7yrPS4u0DqI,part_330,2026-09-20 20:19:12
