business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The City Diagnostic Centre,Diagnostic Center,Building,Building,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,,,"Hospital Road, near Moyna - Srirampur Road, Marketting, Garmayna, West Bengal 721629",Marketting,22.248296099999997,87.7816545,ChIJOXyeDja_AjoRji3GertNuts,https://www.google.com/maps/place/?q=place_id:ChIJOXyeDja_AjoRji3GertNuts,part_323,2026-09-20 20:42:22
The City Diagnostic Centre,Diagnostic Center,Building,Building,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,,,"Moyna - Srirampur Rd, opposite Moyna Marketing, Garmayna, West Bengal 721629",721629,22.2482746,87.78185769999999,ChIJl5ACDja_AjoRy_UrIlPKaMY,https://www.google.com/maps/place/?q=place_id:ChIJl5ACDja_AjoRy_UrIlPKaMY,part_323,2026-09-20 20:42:22
Apollo Diagnostics,Diagnostic Center,Health consultant,Health consultant,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",+91 74792 34675,https://www.apollodiagnostics.in/,5.0,1.0,"Moyna, Dakshinharkuli, West Bengal 721629",721629,22.2239163,87.77845429999999,ChIJ_4Q1buy_AjoR4A2wCm8-frc,https://www.google.com/maps/place/?q=place_id:ChIJ_4Q1buy_AjoR4A2wCm8-frc,part_323,2026-09-20 20:42:22
Naaz Medical,Diagnostic Center,Medical Center,Medical Center,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",+91 99324 80237,N/A,5.0,3.0,"Garsafat Rd, Moyna, Tamluk, West Bengal 721629",721629,22.2479001,87.7969526,ChIJSwCunOi_AjoRF0f4bjfvfUU,https://www.google.com/maps/place/?q=place_id:ChIJSwCunOi_AjoRF0f4bjfvfUU,part_323,2026-09-20 20:42:22
Block Primary Health Center Moyna,Diagnostic Center,Medical laboratory,Medical laboratory,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,4.0,1.0,"6QXM+Q4F, Garmayna, Garsafat, West Bengal 721629",721629,22.249444999999998,87.782797,ChIJvSJVWza_AjoRSO677d_fkAU,https://www.google.com/maps/place/?q=place_id:ChIJvSJVWza_AjoRSO677d_fkAU,part_323,2026-09-20 20:42:22
Disha Laboratory &Diagnostic Center,Diagnostic Center,Medical laboratory,Medical laboratory,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,4.5,2.0,"6Q25+QQ5, Arongkiarana, Moyna, Kiyarana, West Bengal 721642","Arongkiarana, Moyna",22.201888399999998,87.7594934,ChIJiaH5-0DHAjoR1St509hlUyA,https://www.google.com/maps/place/?q=place_id:ChIJiaH5-0DHAjoR1St509hlUyA,part_323,2026-09-20 20:42:22
Ghorai Path Lab And X Ray,Diagnostic Center,Diagnostic center,"Diagnostic center, Doctor",721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",+91 93395 89966,N/A,1.0,1.0,"Radhagobinda Bhaban, Tamluk to Mundamari Road Via Moyna, East, Paramanandapur, Midnapore, West Bengal 721644",East,22.248091,87.70631139999999,ChIJtwNhAAC5AjoRFKJQRZ4oHqk,https://www.google.com/maps/place/?q=place_id:ChIJtwNhAAC5AjoRFKJQRZ4oHqk,part_323,2026-09-20 20:42:22
Kalagechia Primary Health Sub Center,Diagnostic Center,Medical laboratory,Medical laboratory,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,,,"6QG7+C9V, Kalage Chhia, West Bengal 721629",Kalage Chhia,22.226114499999998,87.7634112,ChIJTb1YHae4AjoRCFSb_VgKIYE,https://www.google.com/maps/place/?q=place_id:ChIJTb1YHae4AjoRCFSb_VgKIYE,part_323,2026-09-20 20:42:22
Dhara medical store,Diagnostic Center,Medical clinic,Medical clinic,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,5.0,1.0,"6Q3V+45H, Deuli, West Bengal 721642",721629,22.2028161,87.79298589999999,ChIJQ-pu3BzBAjoRL8jjTDODX4w,https://www.google.com/maps/place/?q=place_id:ChIJQ-pu3BzBAjoRL8jjTDODX4w,part_323,2026-09-20 20:42:23
Garh Safat Primary Health Sub Center,Diagnostic Center,Medical laboratory,Medical laboratory,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",N/A,N/A,4.5,2.0,"6QWV+FFF, Goasafat (CT, Garsafat, West Bengal 721629",721629,22.2461755,87.7936793,ChIJ_RbtYUC_AjoRBH0IOPFLs-g,https://www.google.com/maps/place/?q=place_id:ChIJ_RbtYUC_AjoRBH0IOPFLs-g,part_323,2026-09-20 20:42:23
MIDNAPORE SCAN CENTRE,Diagnostic Center,Hospital,Hospital,721629,West Bengal Circle,South Bengal Region,Tamluk Division,"Moyna SO, Changra BO, Dakshinmoyna BO",+91 6295 001 155,http://midnaporescancentre.in/,2.8,,"Talbagicha, Kharagpur, West Bengal 721306",Talbagicha,22.3143071,87.2866746,ChIJtQJFycNDHToRtgu-gikn0sQ,https://www.google.com/maps/place/?q=place_id:ChIJtQJFycNDHToRtgu-gikn0sQ,part_323,2026-09-20 20:42:24
