business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Glass and Hardware,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,5.0,3.0,"8QH9+XWM, Patiram Hili Hwy, Kadamtali, Patiram, West Bengal 733133",Kadamtali,25.3299067,88.76977529999999,ChIJI-a8KQBf-zkRys0uFSFxcnc,https://www.google.com/maps/place/?q=place_id:ChIJI-a8KQBf-zkRys0uFSFxcnc,part_327,2026-09-20 20:37:04
Himangshu hardware,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,4.8,6.0,"8Q6X+JFP, Unnamed Road, Nazirpur, West Bengal 733133",733133,25.3115918,88.7986975,ChIJn_NiaIOh_DkRZYvIhaX6PQo,https://www.google.com/maps/place/?q=place_id:ChIJn_NiaIOh_DkRZYvIhaX6PQo,part_327,2026-09-20 20:37:04
M/S SHREE GANAPATI TRADERS,Hardware Store,Hardware store,"Hardware store, Electrical products wholesaler, Paint store, Tile store",733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 89618 94943,N/A,5.0,3.0,"NH512, near Indian oil petrol pump, Patiram, West Bengal 733133",733133,25.3247558,88.7613484,ChIJpZDHrexf-zkReqHXFREonLA,https://www.google.com/maps/place/?q=place_id:ChIJpZDHrexf-zkReqHXFREonLA,part_327,2026-09-20 20:37:04
Modern Hardware And Sons,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 99327 33313,N/A,,,"Patiram Hili Hwy, Patiram High School Rd, West Bengal 733133",733133,25.3295624,88.7607955,ChIJA5hu5Qhf-zkRvZI4I8wEZ9Y,https://www.google.com/maps/place/?q=place_id:ChIJA5hu5Qhf-zkRvZI4I8wEZ9Y,part_327,2026-09-20 20:37:04
Karmakar Loha Bhandar,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,4.0,1.0,"8QJ6+9MQ, Patiram, West Bengal 733133",733133,25.3309625,88.7617475,ChIJs7naJQlf-zkR-IRlt3xdVhs,https://www.google.com/maps/place/?q=place_id:ChIJs7naJQlf-zkR-IRlt3xdVhs,part_327,2026-09-20 20:37:04
Debu hardware shop,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"8RCM+W82, Khanpur, Uttar Khanpur, West Bengal 733133",Khanpur,25.322166,88.8332027,ChIJeZCwWgCh_DkRrAkFKhmzL2E,https://www.google.com/maps/place/?q=place_id:ChIJeZCwWgCh_DkRrAkFKhmzL2E,part_327,2026-09-20 20:37:04
Amit Hardware,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 70013 58805,N/A,,,"Patirm Kadamtali, Trimihiniroad, Kadamtali, Patiram, South Dinajpur, West Bengal 733133",Kadamtali,25.3289311,88.7726935,ChIJbSVb4Ddf-zkRwa4lsZmr5lI,https://www.google.com/maps/place/?q=place_id:ChIJbSVb4Ddf-zkRwa4lsZmr5lI,part_327,2026-09-20 20:37:04
মা মনসা হার্ডওয়ার,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"7RXJ+QP, Kaigram, West Bengal 733145",733133,25.2994773,88.8318058,ChIJS96DOgCh_DkRkyiusiuyj3c,https://www.google.com/maps/place/?q=place_id:ChIJS96DOgCh_DkRkyiusiuyj3c,part_327,2026-09-20 20:37:04
MANDAL TRADER'S,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,https://www.facebook.com/share/1cPTwuxU8E/,,,"P.S-KUMAR GANJ, VILL- UCHAIT, P.O, DIST, Debipur, UCHAIT, West Bengal 733141","P.O, DIST",25.4165256,88.80605039999999,ChIJ6fExe5Sn_DkRpdkF0QOX2-c,https://www.google.com/maps/place/?q=place_id:ChIJ6fExe5Sn_DkRpdkF0QOX2-c,part_327,2026-09-20 20:37:04
Rick Hardware,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 62968 89579,N/A,,,"8RCJ RW4, Kamalpur, West Bengal 733145",733133,25.3213236,88.865168,ChIJM-JITE-j_DkRDGHnVsg3uzo,https://www.google.com/maps/place/?q=place_id:ChIJM-JITE-j_DkRDGHnVsg3uzo,part_327,2026-09-20 20:37:04
AP colour coad & Hardware’s,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 97341 74667,N/A,,,"Shop No 13, Raikhan, West Bengal 733141",733133,25.4230712,88.80121439999999,ChIJt3xGytKn_DkREbyw9C9kfZg,https://www.google.com/maps/place/?q=place_id:ChIJt3xGytKn_DkREbyw9C9kfZg,part_327,2026-09-20 20:37:04
MAA MANASHA HARDWARE,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"Dangarhat Rd, Dangarhat, West Bengal 733141",733133,25.451717499999997,88.76901339999999,ChIJKaovGABZ-zkRIHFYOta1qd4,https://www.google.com/maps/place/?q=place_id:ChIJKaovGABZ-zkRIHFYOta1qd4,part_327,2026-09-20 20:37:05
Sudha Hardware,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 74774 74449,N/A,,,"Kamarpara, West Bengal 733145",Kamarpara,25.2500875,88.8636758,ChIJIXn8BdOf_DkRdLpAyHLnUhc,https://www.google.com/maps/place/?q=place_id:ChIJIXn8BdOf_DkRdLpAyHLnUhc,part_327,2026-09-20 20:37:05
MADAN GOPAL LOUHA BHANDER,Hardware Store,Hardware store,Hardware store,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 99337 19060,N/A,5.0,4.0,"Kalitala, Kalitola, Gangarampur, Belbari P, West Bengal 733124","Kalitala, Kalitola",25.406444399999998,88.51038559999999,ChIJP0RG1BpH-zkRCJQYSax46jk,https://www.google.com/maps/place/?q=place_id:ChIJP0RG1BpH-zkRCJQYSax46jk,part_327,2026-09-20 20:37:05
