business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Perfect Beauty (Ladies Beauty Parlour/Salon)- Hair & Beauty,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Beauty product supplier, Bridal shop, Eyebrow bar, Hair salon, Make-up artist, Skin care clinic",731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",N/A,https://perfectbeauty.co.in/,4.9,,"Samsung Care, 130, Pilkhana Rd, near Ranibagan, Ranibagan, Khagra, Berhampore, West Bengal 742101","Ranibagan, Khagra",24.1012263,88.25524519999999,ChIJKUxfj9Z9-TkRrNx7CpAOPUE,https://www.google.com/maps/place/?q=place_id:ChIJKUxfj9Z9-TkRrNx7CpAOPUE,part_326,2026-09-20 20:23:04
Soha Ladies Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 97753 03114,N/A,,,"near Kali mandir, Nalhati, West Bengal 731220",731213,24.3063474,87.838662,ChIJLfzq7C8Z-jkR3o4fOl5Up14,https://www.google.com/maps/place/?q=place_id:ChIJLfzq7C8Z-jkR3o4fOl5Up14,part_326,2026-09-20 20:23:04
Saaz Ladies Beauty Clinic & Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 98306 16747,N/A,4.9,36.0,"Budge Budge Trunk Rd, opposite Anukul Tharur Ashram, Parbangla, Kolkata, Maheshtala, West Bengal 700139",Parbangla,22.4950656,88.22041349999999,ChIJ_1873vZ9AjoRz7s0oGOncoI,https://www.google.com/maps/place/?q=place_id:ChIJ_1873vZ9AjoRz7s0oGOncoI,part_326,2026-09-20 20:23:05
"Charmed Family Salon, Garia",Beauty Parlour,Beauty Parlour,"Beauty Parlour, Barber shop, Facial spa, Make-up artist, Nail salon, Hairdresser",731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 89819 65553,https://charmedfamilysalon.com/google.html,4.8,289.0,"259, Anandapally Ln, Mahamaya Tala, Garia, Kolkata, Rajpur Sonarpur, West Bengal 700084","Mahamaya Tala, Garia",22.4531205,88.3873642,ChIJ_YB7cNZxAjoRgg-9a5tUChU,https://www.google.com/maps/place/?q=place_id:ChIJ_YB7cNZxAjoRgg-9a5tUChU,part_326,2026-09-20 20:23:05
RB Salon the Family: Best Salon In Howrah,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Nail salon",731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 81000 55103,http://www.rbsalon.in/,4.9,625.0,"167gt road. Aloka cinema bulding MANNATH APERMENT, West Bengal 711102","Naora, Shibpur",22.570149,88.326031,ChIJWzxABSR5AjoRCpCVJTJa8j8,https://www.google.com/maps/place/?q=place_id:ChIJWzxABSR5AjoRCpCVJTJa8j8,part_326,2026-09-20 20:23:05
Bimal's Hair Studio,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 97489 52222,http://www.bimalshairstudio.com/,4.8,1408.0,"Jessore Rd, Barasat, Kolkata, West Bengal 700127",Barasat,22.7037141,88.4715842,ChIJxYD3vYqj-DkR7RqRnHUs_bk,https://www.google.com/maps/place/?q=place_id:ChIJxYD3vYqj-DkR7RqRnHUs_bk,part_326,2026-09-20 20:23:05
BeBonnie Kamalgazi,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 99038 20007,N/A,4.8,967.0,"Vinayak Pride , 470 dakhin kumrakhali Netaji Subhash Chandra Bose Road , garia kamalgachi, Kamalgazi, Crossing, Rajpur Sonarpur, West Bengal 700103","Kamalgachhi More, Kamalgazi, Crossing",22.4476814,88.3916868,ChIJAQAAQIxxAjoRCX8MRtP_eSk,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQIxxAjoRCX8MRtP_eSk,part_326,2026-09-20 20:23:05
Glamzone Studio,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 93305 81727,https://glamzonestudio.co.in/,4.8,195.0,"ASHUTOSH APARTMENT, 316, Model Town Rd, Madhya, Baliya, Garia, Kolkata, Rajpur Sonarpur, West Bengal 700084","Madhya, Baliya, Garia",22.4625046,88.3958785,ChIJTUvFkBtxAjoRWEjPGlWHlWQ,https://www.google.com/maps/place/?q=place_id:ChIJTUvFkBtxAjoRWEjPGlWHlWQ,part_326,2026-09-20 20:23:05
Ananya Salon & Spa,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 98302 62951,https://www.facebook.com/Sera.Ananya.01,4.0,50.0,"8, 1, Halder Para Rd, Shyampur, Budge Budge, Maheshtala, West Bengal 700137","Shyampur, Budge Budge",22.487444099999998,88.18966689999999,ChIJOQy3p8J9AjoRBaZe1VBlDPk,https://www.google.com/maps/place/?q=place_id:ChIJOQy3p8J9AjoRBaZe1VBlDPk,part_326,2026-09-20 20:23:05
Friend Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO",+91 62911 96860,N/A,4.9,229.0,"Block-B, Ground Floor, 142, Lake Town Rd, Lake Town, South Dumdum, West Bengal 700089",Lake Town,22.602067299999998,88.4062928,ChIJHRT06gl1AjoRekUqjrKWBIw,https://www.google.com/maps/place/?q=place_id:ChIJHRT06gl1AjoRekUqjrKWBIw,part_326,2026-09-20 20:23:05
