business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aadhar Housing Finance Ltd,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial advisor, Financial institution, Low income housing program, Mortgage broker, Mortgage lender",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 1800 268 4040,https://my-branches.aadharhousing.com/aadhar-housing-finance-ltd-financial-institutions-ot-road-kharagpur-179517/Home,5.0,,"1st Floor, No. 232, No. 148/132, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",Inda,22.349159699999998,87.3357754,ChIJQbk8tMtFHToRHHa_NqC_1vE,https://www.google.com/maps/place/?q=place_id:ChIJQbk8tMtFHToRHHa_NqC_1vE,part_322,2026-09-20 20:23:38
Piramal Finance Limited,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial advisor, Financial institution, Low income housing program, Mortgage lender",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 1800 266 6444,https://www.piramalfinance.com/branch-locator/loans-in-kharagpur-west-bengal-6517,4.1,,"2nd Floor, CGST Building, O T Rd, LIC More, Inda, Kharagpur, Rui Sanda, West Bengal 721305","LIC More, Inda",22.358366,87.33782699999999,ChIJZ0LdlUlFHToRgwUSf_lFeHQ,https://www.google.com/maps/place/?q=place_id:ChIJZ0LdlUlFHToRgwUSf_lFeHQ,part_322,2026-09-20 20:23:38
SMFG India Credit Co. Ltd. - Inda (Urban Branch),Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Financial planner, Financial institution, Mortgage lender",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 1800 103 6001,https://branches.smfgindiacredit.com/Inda-Kharagpur-branch-435404/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"Second Floor, M S Tower, 1, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",Inda,22.3553471,87.3373369,ChIJ094N7CRFHToRZ2k0Qw8Pjwo,https://www.google.com/maps/place/?q=place_id:ChIJ094N7CRFHToRZ2k0Qw8Pjwo,part_322,2026-09-20 20:23:38
Bajaj Finance Branch,Home Loan DSA and Loan Consultant,Financial institution,Financial institution,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 77570 00000,https://nearme.bajajfinserv.in/service-branch/bajaj-finance-branch-loan-agency-ot-road-kharagpur-177043/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"2nd Floor, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",Inda,22.351107799999998,87.3358291,ChIJzxHkOlREHToRkKe2IYUWc24,https://www.google.com/maps/place/?q=place_id:ChIJzxHkOlREHToRkKe2IYUWc24,part_322,2026-09-20 20:23:38
L&T Finance Ltd.,Home Loan DSA and Loan Consultant,Financial institution,Financial institution,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 1800 268 0000,https://www.ltfinance.com/?utm_source=googlebusinesslisting&utm_medium=gmb&utm_campaign=finance,4.9,,"Post - Inda, SBI ATM Bldg,, 2nd floor, Ward No.2, OT Road, West Midnapur, Kharagpur, West Bengal 721305",Inda,22.3490724,87.3357326,ChIJ8YzZSWBFHToREKbSKi9fYTw,https://www.google.com/maps/place/?q=place_id:ChIJ8YzZSWBFHToREKbSKi9fYTw,part_322,2026-09-20 20:23:38
Dream Value,Home Loan DSA and Loan Consultant,Financial institution,Financial institution,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,4.9,,"Kharagpur, West Bengal 721301",721301,22.3445249,87.2890446,ChIJnyL8-JBDHToRLNbJswWN2Z0,https://www.google.com/maps/place/?q=place_id:ChIJnyL8-JBDHToRLNbJswWN2Z0,part_322,2026-09-20 20:23:39
Cholamandalam Investment and Finance Company Limited,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Car finance and loan company, Finance broker, Financial institution, Mortgage lender",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 80 4446 5174,https://www.cholamandalam.com/branch/inda,4.3,,"4th Floor, No. 96/88, O T Rd, above Max Show Room, Inda, Kharagpur, West Bengal 721305",Inda,22.34989,87.3356491,ChIJmaZpzlVEHToR_0q56CqYlh8,https://www.google.com/maps/place/?q=place_id:ChIJmaZpzlVEHToR_0q56CqYlh8,part_322,2026-09-20 20:23:39
LIC Housing Finance Ltd,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Bank",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 3222 242 040,N/A,4.0,,"LIC HFL, LIC CAB CAMPUS, NR. LIC DIVISION OFFICE, Malancha Main Rd, Kharagpur, West Bengal 721304",721301,22.3463869,87.2871789,ChIJM6IYsctDHToRSRKujwCkZ04,https://www.google.com/maps/place/?q=place_id:ChIJM6IYsctDHToRSRKujwCkZ04,part_322,2026-09-20 20:23:39
DIKSHIT YOUR FINANCIAL MANAGER,Home Loan DSA and Loan Consultant,Financial consultant,Financial consultant,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 62968 46972,N/A,4.7,,"BIVISONPUR, Bibhishananpur, Bhagabanpur, West Bengal 721458",BIVISONPUR,22.0843645,87.6912315,ChIJa7O-GlbPAjoRE-7RYnmy-JA,https://www.google.com/maps/place/?q=place_id:ChIJa7O-GlbPAjoRE-7RYnmy-JA,part_322,2026-09-20 20:23:39
Bajaj Capital,Home Loan DSA and Loan Consultant,Financial planner,Financial planner,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 1800 212 123 123,https://www.bajajcapitalinsurance.com/,4.0,,"2nd Floor, Atwal Real Estate, Paschim Mindapore OT Road, college, opposite Kharagpur, Kharagpur, West Bengal 721305",721301,22.3897679,87.35625619999999,ChIJt73rY3tFHToRItYBM6kQUYw,https://www.google.com/maps/place/?q=place_id:ChIJt73rY3tFHToRItYBM6kQUYw,part_322,2026-09-20 20:23:39
