business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Drone Photography & Videography,Videographer and Drone Rental,Photographer,"Photographer, Service establishment",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 90646 10643,https://www.goldendreamcs.com/,,,"Drone Photography & Videography, 723104, India",723104,22.2722586,87.8930654,ChIJa8eq4egzGmsRL8NvW8MsZXo,https://www.google.com/maps/place/?q=place_id:ChIJa8eq4egzGmsRL8NvW8MsZXo,part_325,2026-09-20 20:26:41
Aerial Cinematography,Videographer and Drone Rental,Photography studio,Photography studio,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,5.0,2.0,"FFQ4+8X4, Rangamati, Rangamatya, West Bengal 723155",723104,23.4882627,86.45746129999999,ChIJa9bFeQCP9jkRrjd7WOuRXTI,https://www.google.com/maps/place/?q=place_id:ChIJa9bFeQCP9jkRrjd7WOuRXTI,part_325,2026-09-20 20:26:41
Sony Video Editing Centre,Videographer and Drone Rental,Wedding Portrait Studio,Wedding Portrait Studio,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 70630 30777,N/A,4.7,14.0,"GMMC+237, Patara Para Rd, Raghunathpur, West Bengal 723133",723104,23.5325444,86.6701665,ChIJH-Skvvzx9jkRyq_xCAox_3g,https://www.google.com/maps/place/?q=place_id:ChIJH-Skvvzx9jkRyq_xCAox_3g,part_325,2026-09-20 20:26:42
Drone rental service,Videographer and Drone Rental,Photography studio,Photography studio,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,,,"C8JH+84J, Midnapore, West Bengal 721101",723104,22.430837699999998,87.3277772,ChIJFw1mnyJbHToRHnhg_u36sqs,https://www.google.com/maps/place/?q=place_id:ChIJFw1mnyJbHToRHnhg_u36sqs,part_325,2026-09-20 20:26:42
Photography AND CATERING ( R VIDEO WORLD ),Videographer and Drone Rental,Video production service,Video production service,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,,,"Robindra pally, Suri, West Bengal 731101",723104,23.924634899999997,87.52026479999999,ChIJg8pgZP5Z9zkRadrNxarVbhI,https://www.google.com/maps/place/?q=place_id:ChIJg8pgZP5Z9zkRadrNxarVbhI,part_325,2026-09-20 20:26:42
Video Editar,Videographer and Drone Rental,Photography studio,Photography studio,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 83919 02537,N/A,,,"Ukhra BISHESHWARI, Ukhra, West Bengal 713363",723104,23.648982099999998,87.2457847,ChIJww5peYRr9zkRTJEnlvlrrWY,https://www.google.com/maps/place/?q=place_id:ChIJww5peYRr9zkRTJEnlvlrrWY,part_325,2026-09-20 20:26:42
AV Aerials Drone Services,Videographer and Drone Rental,Aerial photographer,Aerial photographer,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 94283 61192,https://avaerials.com/,4.9,,"402, Swarnim Business Hub 1, New Chamunda Society, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","New Chamunda Society, Godrej Garden City, Chandkheda",23.1185287,72.5557759,ChIJMbT4UNmDXjkR9vFT2XTvQo0,https://www.google.com/maps/place/?q=place_id:ChIJMbT4UNmDXjkR9vFT2XTvQo0,part_325,2026-09-20 20:26:42
LENS OF LIGHT PRODUCTION - Youtube live streaming service,Videographer and Drone Rental,Video production service,"Video production service, Event planner, Graphic designer, Internet service provider, Party equipment rental service, Photographer, Video conferencing equipment supplier, Video Conferencing Service Provider, Video editing service, Wedding photographer",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 98986 58859,https://youtube.com/channel/UCe5iKO_x2wDsIA6CeDPaSww,4.9,,"Devraj Mall, 209, India Colony Rd, opp. Haveli temple, Thakkarbapanagar, Bapunagar, Ahmedabad, Gujarat 380024","Thakkarbapanagar, Bapunagar",23.0394197,72.6388616,ChIJrZCbgP-HXjkRpxcECeGzNvs,https://www.google.com/maps/place/?q=place_id:ChIJrZCbgP-HXjkRpxcECeGzNvs,part_325,2026-09-20 20:26:42
BALA-G PRODUCTION,Videographer and Drone Rental,Video production service,Video production service,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 90459 54531,https://www.balagproduction.com/,5.0,,"SHOP NO - 111/1, JOHAR COMPLEX, Tilak Rd, Bankhandi, Doctor Colony, Rishikesh, Uttarakhand 249201","Bankhandi, Doctor Colony",30.1054253,78.2930946,ChIJM7RyO-U9CTkRbDGkE627soM,https://www.google.com/maps/place/?q=place_id:ChIJM7RyO-U9CTkRbDGkE627soM,part_325,2026-09-20 20:26:42
DRONE ON RENT MALDA : TechX360 Universe - Drone rental service in Malda & All India (Click on the Updates inside for contact),Videographer and Drone Rental,Drone service,"Drone service, Camera store, Drone shop, Technology park",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,http://wa.me/918918799683,5.0,1.0,"North Baluchar, Malda, West Bengal 732101",North Baluchar,24.999995799999997,88.15145389999999,ChIJB463G9j9-jkRrFCFA6DfDXc,https://www.google.com/maps/place/?q=place_id:ChIJB463G9j9-jkRrFCFA6DfDXc,part_325,2026-09-20 20:26:43
